WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
16	1800165	130273	1805952	58766	1811755	3029854	1800165	0.83199	1805952	0.99367	1811755	1.05542	1800165	156580.006971238	1805952	59140.3584691095	1811755	2870756.66559284	1816732	137891	1822535	67369	1828354	3154532	1816732	0.83103	1822535	0.99383	1828354	1.0563	1816732	165927.824506937	1822535	67787.2473159394	1828354	2986397.80365426	1833315	130242	1839102	64065	1844906	3114421	1833315	0.83165	1839102	0.99469	1844906	1.05663	1833315	156606.745626165	1839102	64407.0011762459	1844906	2947503.8566007
17	1920176	130741	1925963	45464	1931766	3028960	1920176	0.83257	1925963	0.99449	1931766	1.05664	1920176	157033.042266716	1925963	45715.894579131	1931766	2866596.00242277	1936743	137476	1942531	52074	1948318	3150851	1936743	0.8318	1942531	0.99416	1948318	1.05663	1936743	165275.306564078	1942531	52379.89860787	1948318	2981981.39367612	1953295	130418	1959082	50221	1964885	3112598	1953295	0.83236	1959082	0.9952	1964885	1.05668	1953295	156684.607621702	1959082	50463.2234726688	1964885	2945639.17174547
18	2040187	130176	2045974	38776	2051778	3030698	2040187	0.83269	2045974	0.99534	2051778	1.05762	2040187	156331.888217704	2045974	38957.5421464022	2051778	2865583.10168113	2056754	137910	2062557	43704	2068345	3148711	2056754	0.83231	2062557	0.99452	2068345	1.05708	2056754	165695.474042124	2062557	43944.8176004505	2068345	2978687.51655504	2073337	130586	2079124	42433	2084912	3104402	2073337	0.83274	2079124	0.99579	2084912	1.05702	2073337	156814.852174748	2079124	42612.3981964069	2084912	2936937.8062856
19	2160198	130615	2165985	34091	2171789	3024725	2160198	0.8324	2165985	0.9956	2171789	1.05722	2160198	156913.7433926	2165985	34241.6633186019	2171789	2861017.57439322	2176765	137447	2182553	37674	2188356	3143727	2176765	0.83232	2182553	0.9948	2188356	1.05727	2176765	165137.206843522	2182553	37870.9288299156	2188356	2973438.19459552	2193348	131828	2199120	37494	2204923	3109341	2193348	0.83345	2199120	0.99542	2204923	1.05684	2193348	158171.455996161	2199120	37666.5126278355	2204923	2942111.38866811
20	2280209	130409	2285996	31221	2291800	3020417	2280209	0.83178	2285996	0.99569	2291800	1.05792	2280209	156783.043593258	2285996	31356.1449848849	2291800	2855052.36690865	2296776	137780	2302548	33719	2308351	3138718	2296776	0.83219	2302548	0.99599	2308351	1.05684	2296776	165563.15264543	2302548	33854.7575778873	2308351	2969908.40619204	2313328	130457	2319115	34020	2324918	3102401	2313328	0.8317	2319115	0.99541	2324918	1.05792	2313328	156855.837441385	2319115	34176.8718417537	2324918	2932547.82970357
21	2400220	130051	2406007	29243	2411826	3013292	2400220	0.83241	2406007	0.99537	2411826	1.05765	2400220	156234.307612835	2406007	29379.0248852186	2411826	2849044.57996502	2416803	137300	2422590	31611	2428393	3137135	2416803	0.83235	2422590	0.99523	2428393	1.05724	2416803	164954.64648285	2422590	31762.5071591491	2428393	2967287.46547615	2433370	131007	2439157	31839	2444961	3096759	2433370	0.83321	2439157	0.99558	2444961	1.05815	2433370	157231.670287202	2439157	31980.3531609715	2444961	2926578.46241081
22	2520231	130555	2526018	27752	2531822	3012375	2520231	0.83367	2526018	0.9966	2531822	1.05823	2520231	156602.732496072	2526018	27846.6787076059	2531822	2846616.52003818	2536798	137544	2542586	29522	2548373	3135431	2536798	0.83385	2542586	0.99713	2548373	1.05907	2536798	164950.530670984	2542586	29606.9720096677	2548373	2960551.23835063	2553365	131568	2559153	30746	2564940	3100480	2553365	0.83334	2559153	0.99616	2564940	1.05825	2553365	157880.336957304	2559153	30864.5197558625	2564940	2929818.09591306
23	2640242	130165	2646045	26839	2651848	3014162	2640242	0.83326	2646045	0.99599	2651848	1.05805	2640242	156211.746633704	2646045	26947.0577013825	2651848	2848789.75473749	2656840	137479	2662628	28347	2668447	3134057	2656840	0.83326	2662628	0.99665	2668447	1.05775	2656840	164989.319060077	2662628	28442.2816435057	2668447	2962946.82108249	2673407	130880	2679195	29289	2684998	3097690	2673407	0.83347	2679195	0.9955	2684998	1.05781	2673407	157030.247039486	2679195	29421.3962832747	2684998	2928399.23993912
24	2760253	130638	2766040	25713	2771859	3008879	2760253	0.83315	2766040	0.99612	2771859	1.05885	2760253	156800.096021125	2766040	25813.1550415613	2771859	2841648.0143552	2776820	137641	2782608	27350	2788411	3129949	2776820	0.83327	2782608	0.99661	2788411	1.05814	2776820	165181.75381329	2782608	27443.0318780666	2788411	2957972.4800121	2793403	130658	2799175	28117	2804978	3089424	2793403	0.83306	2799175	0.99683	2804978	1.05794	2793403	156841.043862387	2799175	28206.414333437	2804978	2920226.09977882
25	2880264	130046	2886051	25026	2891855	3007143	2880264	0.83353	2886051	0.99713	2891855	1.0585	2880264	156018.3796624	2886051	25098.0313499744	2891855	2840947.56731223	2896831	137212	2902619	26077	2908422	3125861	2896831	0.83329	2902619	0.99689	2908422	1.0587	2896831	164662.962474049	2902619	26158.352476201	2908422	2952546.51931614	2913398	130509	2919186	27314	2924973	3081980	2913398	0.83304	2919186	0.99631	2924973	1.05828	2913398	156665.946413137	2919186	27415.1619475866	2924973	2912253.8458631
