WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
19	2160198	118280	2165985	1168818	2171789	3065794	2160198	0.84637	2165985	1.01321	2171789	1.07342	2160198	139749.754835356	2165985	1153579.21852331	2171789	2856099.19695925	2176765	113452	2182553	1121998	2188340	2958930	2176765	0.8469	2182553	1.01395	2188340	1.07321	2176765	133961.50667139	2182553	1106561.46752798	2188340	2757083.88852135	2193317	109613	2199104	1122528	2204907	2945728	2193317	0.84746	2199104	1.01304	2204907	1.07258	2193317	129342.977839662	2199104	1108078.65434731	2204907	2746394.67452311
20	2280209	117826	2285996	1166231	2291800	3058815	2280209	0.84676	2285996	1.01476	2291800	1.07282	2280209	139149.227644197	2285996	1149267.80716623	2291800	2851191.25295949	2296776	113524	2302564	1122988	2308367	2952526	2296776	0.84668	2302564	1.01369	2308367	1.07272	2296776	134081.353049558	2302564	1107821.91794336	2308367	2752373.4059214	2313343	108842	2319115	1120279	2324918	2947457	2313343	0.84736	2319115	1.01427	2324918	1.07362	2313343	128448.357250755	2319115	1104517.53477871	2324918	2745344.7215961
21	2400220	117534	2406007	1164074	2411826	3057639	2400220	0.84678	2406007	1.01366	2411826	1.07379	2400220	138801.105363849	2406007	1148387.03312748	2411826	2847520.46489537	2416787	113592	2422575	1120429	2428362	2949702	2416787	0.84677	2422575	1.01286	2428362	1.07303	2416787	134147.407206207	2422575	1106203.22650712	2428362	2748946.44138561	2433339	109627	2439126	1120391	2444929	2941520	2433339	0.84672	2439126	1.01305	2444929	1.07268	2433339	129472.552910053	2439126	1105958.244904	2444929	2742215.75866055
22	2520231	118306	2526018	1165412	2531822	3054145	2520231	0.84654	2526018	1.01311	2531822	1.07241	2520231	139752.403902946	2526018	1150331.15851191	2531822	2847926.63253793	2536798	113710	2542570	1121760	2548373	2949916	2536798	0.8465	2542570	1.01271	2548373	1.07242	2536798	134329.592439457	2542570	1107681.36978997	2548373	2750709.61004084	2553350	108636	2559137	1120764	2564940	2944408	2553350	0.84618	2559137	1.01373	2564940	1.0729	2553350	128384.031766291	2559137	1105584.32718771	2564940	2744345.2325473
23	2640242	117601	2646045	1161401	2651848	3054392	2640242	0.84674	2646045	1.01239	2651848	1.07316	2640242	138886.789333207	2646045	1147187.348749	2651848	2846166.46166462	2656825	113155	2662597	1119843	2668400	2943736	2656825	0.84643	2662597	1.01313	2668400	1.07296	2656825	133685.006438808	2662597	1105330.01687839	2668400	2743565.46376379	2673376	110311	2679164	1122247	2684967	2941015	2673376	0.84717	2679164	1.01357	2684967	1.0732	2673376	130211.173672344	2679164	1107221.99749401	2684967	2740416.51136787
24	2760253	117940	2766040	1165599	2771828	3045762	2760253	0.84706	2766040	1.01372	2771828	1.07247	2760253	139234.528840932	2766040	1149823.42264136	2771828	2839950.76785365	2776804	113496	2782592	1118409	2788395	2942010	2776804	0.8466	2782592	1.01382	2788395	1.07245	2776804	134060.949681077	2782592	1103163.28342309	2788395	2743260.7580773	2793372	109535	2799159	1119158	2804962	2935481	2793372	0.84734	2799159	1.01372	2804962	1.07327	2793372	129269.242570869	2799159	1104010.96949848	2804962	2735081.5731363
25	2880264	117771	2886051	1164531	2891855	3039889	2880264	0.84717	2886051	1.01305	2891855	1.07191	2880264	139016.962357024	2886051	1149529.63822121	2891855	2835955.44402049	2896831	113044	2902619	1118576	2908406	2938675	2896831	0.84685	2902619	1.01305	2908406	1.07307	2896831	133487.630631163	2902619	1104166.62553675	2908406	2738567.84739113	2913398	109302	2919170	1118592	2924973	2932754	2913398	0.84633	2919170	1.01383	2924973	1.07295	2913398	129148.204601042	2919170	1103332.90591125	2924973	2733355.70157044
26	3000275	117455	3006047	1158325	3011866	3037559	3000275	0.84792	3006047	1.01285	3011866	1.07385	3000275	138521.322766299	3006047	1143629.36268944	3011866	2828662.28989151	3016842	113339	3022614	1121495	3028417	2944576	3016842	0.84815	3022614	1.01426	3028417	1.0744	3016842	133630.843600778	3022614	1105727.32829846	3028417	2740670.14147431	3033394	108753	3039181	1119740	3045078	2929029	3033394	0.84729	3039181	1.01347	3045078	1.07349	3033394	128353.928407039	3039181	1104857.56855161	3045078	2728510.74532599
27	3120286	117629	3126089	1164314	3131892	3034809	3120286	0.84647	3126089	1.01355	3131892	1.07277	3120286	138964.168842369	3126089	1148748.45838883	3131892	2828946.55890825	3136853	113150	3142656	1119628	3148459	2938454	3136853	0.84762	3142656	1.01347	3148459	1.07309	3136853	133491.423043345	3142656	1104747.05714032	3148459	2738310.85929419	3153436	109055	3159223	1119222	3165027	2927771	3153436	0.84667	3159223	1.01356	3165027	1.07295	3153436	128804.611005468	3159223	1104248.3918071	3165027	2728711.49634186
28	3240297	117132	3246084	1166385	3251872	3033663	3240297	0.84747	3246084	1.01461	3251872	1.07318	3240297	138213.742079366	3246084	1149589.49744237	3251872	2826797.92765426	3256864	113476	3262636	1118292	3268439	2935262	3256864	0.84756	3262636	1.01335	3268439	1.07369	3256864	133885.506630799	3262636	1103559.48092959	3268439	2733807.70986039	3273416	109327	3279203	1117889	3285006	2932275	3273416	0.84762	3279203	1.01397	3285006	1.07395	3273416	128981.147212194	3279203	1102487.25307455	3285006	2730364.5421109
