WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
16	1800165	20801	1805952	1881181	1811771	3422886	1800165	0.86799	1805952	1.07739	1811771	1.21112	1800165	23964.5618037074	1805952	1746053.8894922	1811771	2826215.40392364	1816732	121875	1822520	2604874	1828307	4952892	1816732	0.86802	1822520	1.07704	1828307	1.21071	1816732	140405.751019562	1822520	2418548.98611008	1828307	4090898.72884506	1833284	126282	1839071	2827924	1844874	5364217	1833284	0.86834	1839071	1.07708	1844874	1.21091	1833284	145429.209756547	1839071	2625546.84888773	1844874	4429905.60817897	1849835	92972	1855607	2588965	1861410	4871316	1849835	0.86806	1855607	1.07737	1861410	1.21048	1849835	107103.195631638	1855607	2403041.66627992	1861410	4024284.58132311
17	1920176	7753	1925963	1039918	1931782	2030586	1920176	0.86821	1925963	1.07756	1931782	1.21102	1920176	8929.86719802813	1925963	965067.374438546	1931782	1676756.78353784	1936743	119991	1942531	1750245	1948334	4996346	1936743	0.86851	1942531	1.07731	1948334	1.2115	1936743	138157.303888268	1942531	1624643.78869592	1948334	4124099.05076352	1953310	121708	1959098	2061098	1964885	5279037	1953310	0.86804	1959098	1.07787	1964885	1.21105	1953310	140210.128565504	1959098	1912195.34823309	1964885	4359057.84236819	1969862	93130	1975649	2596507	1981484	4872632	1969862	0.86871	1975649	1.07743	1981484	1.21179	1969862	107204.93605461	1975649	2409907.83623994	1981484	4021020.14375428
18	2040187	6071	2045959	610690	2051778	1376375	2040187	0.86888	2045959	1.07813	2051778	1.21128	2040187	6987.15587883252	2045959	566434.474506785	2051778	1136297.96578826	2056754	118837	2062526	1012610	2068329	4980495	2056754	0.86855	2062526	1.07749	2068329	1.21157	2056754	136822.290023603	2062526	939785.98409266	2068329	4110777.75118235	2073306	120186	2079093	1240573	2084896	5265347	2073306	0.86899	2079093	1.07827	2084896	1.21252	2073306	138305.389014833	2079093	1150521.66896974	2084896	4342482.59822518	2089857	92509	2095645	2585136	2101448	4868046	2089857	0.86942	2095645	1.07791	2101448	1.21211	2089857	106403.119320927	2095645	2398285.57115158	2101448	4016175.09961967
19	2160198	5508	2165985	371381	2171804	1063212	2160198	0.86924	2165985	1.07823	2171804	1.21207	2160198	6336.56987713405	2165985	344435.788282648	2171804	877186.961149109	2176765	117963	2182537	617175	2188340	4967087	2176765	0.86934	2182537	1.07913	2188340	1.2116	2176765	135692.594381945	2182537	571919.045898085	2188340	4099609.60713107	2193317	119347	2199104	784364	2204907	5250435	2193317	0.86908	2199104	1.07838	2204907	1.21162	2193317	137325.677728172	2199104	727353.993953894	2204907	4333400.73620442	2209884	92675	2215671	2587650	2221490	4858410	2209884	0.86904	2215671	1.07831	2221490	1.21122	2209884	106640.660959219	2215671	2399727.35113279	2221490	4011170.55530787
20	2280209	5116	2285996	232440	2291800	906537	2280209	0.86876	2285996	1.0781	2291800	1.211	2280209	5888.85307795018	2285996	215601.521194694	2291800	748585.466556565	2296776	117234	2302548	396370	2308351	4952447	2296776	0.86823	2302548	1.07766	2308351	1.21058	2296776	135026.433088007	2302548	367806.172633298	2308351	4090970.44391944	2313343	118415	2319131	513686	2324934	5239126	2313343	0.86873	2319131	1.07799	2324934	1.21109	2313343	136308.174001128	2319131	476522.045659051	2324934	4325959.25984031	2329910	92253	2335698	2585168	2341517	4857576	2329910	0.86857	2335698	1.07734	2341517	1.21159	2329910	106212.510217944	2335698	2399584.1609891	2341517	4009257.25699288
21	2400220	5039	2406007	153751	2411826	827984	2400220	0.86826	2406007	1.07761	2411826	1.21206	2400220	5803.56114527906	2406007	142677.777674669	2411826	683121.29762553	2416787	117224	2422575	263370	2428378	4946652	2416787	0.86856	2422575	1.0775	2428378	1.21141	2416787	134963.617942341	2422575	244426.914153132	2428378	4083383.82545959	2433354	119371	2439142	344096	2444929	5232404	2433354	0.86857	2439142	1.07822	2444929	1.21179	2433354	137433.943147933	2439142	319133.386507392	2444929	4317913.16977364	2449906	92315	2455678	2582005	2461481	4850085	2449906	0.8687	2455678	1.07866	2461481	1.21238	2449906	106267.986646713	2455678	2393715.35052751	2461481	4000466.02550356
22	2520231	4771	2526018	104492	2531837	786861	2520231	0.86868	2526018	1.0792	2531837	1.21227	2520231	5492.24110144127	2526018	96823.5730170497	2531837	649080.65035017	2536798	116446	2542586	184003	2548389	4945441	2536798	0.86857	2542586	1.07817	2548389	1.21186	2536798	134066.3389249	2542586	170662.325978278	2548389	4080868.25210833	2553365	118691	2559153	237898	2564940	5227411	2553365	0.86919	2559153	1.07813	2564940	1.21161	2553365	136553.572866692	2559153	220657.991151345	2564940	4314433.68740767	2569901	92374	2575689	2579134	2581492	4853621	2569901	0.86922	2575689	1.07878	2581492	1.21351	2569901	106272.290099169	2575689	2390787.74170823	2581492	3999654.72060387
23	2640242	4841	2646029	75965	2651833	761570	2640242	0.86864	2646029	1.07872	2651833	1.212	2640242	5573.0797568613	2646029	70421.4253930585	2651833	628358.085808581	2656809	116189	2662597	134764	2668384	4947746	2656809	0.86903	2662597	1.07913	2668384	1.21325	2656809	133699.642129731	2662597	124882.080935568	2668384	4078092.72614877	2673376	117794	2679164	171002	2684951	5221639	2673376	0.86977	2679164	1.07897	2684951	1.21267	2673376	135431.205950999	2679164	158486.334189088	2684951	4305902.67756273	2689928	91750	2695715	2583009	2701534	4846975	2689928	0.86935	2695715	1.07927	2701534	1.21254	2689928	105538.62080865	2695715	2393292.68857654	2701534	3997373.28253089
24	2760253	4552	2766040	58870	2771859	745808	2760253	0.86939	2766040	1.07843	2771859	1.21152	2760253	5235.85502478749	2766040	54588.6149309645	2771859	615596.936080296	2776836	115867	2782608	103229	2788411	4932309	2776836	0.8692	2782608	1.07831	2788411	1.21189	2776836	133303.037275656	2782608	95732.2105887917	2788411	4069931.26438868	2793387	118327	2799159	127499	2804962	5212433	2793387	0.86919	2799159	1.07782	2804962	1.21146	2793387	136134.792162818	2799159	118293.407062404	2804962	4302604.29564327	2809923	92402	2815711	2578467	2821514	4839575	2809923	0.86871	2815711	1.07826	2821514	1.21166	2809923	106366.911857812	2815711	2391322.13009849	2821514	3994169.156364
25	2880264	4577	2886036	47723	2891855	738004	2880264	0.8695	2886036	1.07774	2891855	1.21148	2880264	5263.94479585969	2886036	44280.6242693043	2891855	609175.553867996	2896831	115218	2902619	83054	2908406	4929481	2896831	0.86867	2902619	1.07802	2908406	1.21178	2896831	132637.250048925	2902619	77043.0975306581	2908406	4067966.95769859	2913398	118451	2919170	98486	2924973	5210087	2913398	0.86899	2919170	1.07874	2924973	1.21196	2913398	136308.818283294	2919170	91297.2542039787	2924973	4298893.5278392	2929950	92135	2935722	2581102	2941525	4837970	2929950	0.86898	2935722	1.07852	2941525	1.2123	2929950	106026.605905775	2935722	2393188.81430108	2941525	3990736.61634909
