WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
144	17161574	4318	17167362	17543	17173165	657827	17161574	0.87475	17167362	1.08521	17173165	1.21938	17161574	4936.26750500143	17167362	16165.5347812866	17173165	539476.619265528	17178141	92267	17183929	2248203	17189748	1341265	17178141	0.87444	17183929	1.085	17189748	1.21958	17178141	105515.529939161	17183929	2072076.49769585	17189748	1099776.15244592	17194724	26067	17200512	243260	17206315	4175356	17194724	0.8743	17200512	1.08549	17206315	1.21879	17194724	29814.7089099851	17200512	224101.557821813	17206315	3425820.69101322	17211291	88440	17217079	2373843	17222882	4422193	17211291	0.87455	17217079	1.08479	17222882	1.21872	17211291	101126.293522383	17217079	2188297.27412679	17222882	3628555.36956807
145	17281585	4329	17287373	17571	17293176	657981	17281585	0.87448	17287373	1.08529	17293176	1.22043	17281585	4950.37050590065	17287373	16190.1427268288	17293176	539138.664241292	17298152	91932	17303940	2245809	17309743	1342605	17298152	0.8746	17303940	1.08478	17309743	1.21927	17298152	105113.194603247	17303940	2070289.82835229	17309743	1101154.78934116	17314720	25979	17320507	241634	17326310	4172571	17314720	0.87479	17320507	1.08644	17326310	1.21936	17314720	29697.4130934281	17320507	222408.968741946	17326310	3421935.27752264	17331287	87649	17337074	2378123	17342878	4422431	17331287	0.87417	17337074	1.08603	17342878	1.21938	17331287	100265.39460288	17337074	2189739.69411526	17342878	3626786.5636635
146	17401596	4290	17407384	17557	17413171	656652	17401596	0.87429	17407384	1.08478	17413171	1.21955	17401596	4906.8386919672	17407384	16184.8485407179	17413171	538437.948423599	17418148	91705	17423935	2252480	17429770	1339739	17418148	0.87405	17423935	1.08525	17429770	1.21918	17418148	104919.627023626	17423935	2075540.19811103	17429770	1098885.31636018	17434746	25673	17440534	240282	17446337	4181638	17434746	0.87418	17440534	1.08468	17446337	1.21996	17434746	29368.0935276488	17440534	221523.398606041	17446337	3427684.51424637	17451313	88311	17457085	2375637	17462889	4417693	17451313	0.87455	17457085	1.08476	17462889	1.21942	17451313	100978.789091533	17457085	2190011.61547255	17462889	3622782.14232996
147	17521607	4220	17527395	17328	17533198	655968	17521607	0.87428	17527395	1.0845	17533198	1.21871	17521607	4826.82893352244	17527395	15977.8699861687	17533198	538247.819415612	17538190	91803	17543962	2247375	17549765	1336461	17538190	0.87427	17543962	1.08476	17549765	1.21938	17538190	105005.318723049	17543962	2071771.63612228	17549765	1096016.82822418	17554742	25941	17560529	238189	17566332	4165342	17554742	0.87385	17560529	1.08565	17566332	1.21827	17554742	29685.8728614751	17560529	219397.595910284	17566332	3419063.09767129	17571309	88152	17577096	2376809	17582900	4419449	17571309	0.87446	17577096	1.08524	17582900	1.21997	17571309	100807.355396473	17577096	2190122.92211861	17582900	3622588.26036706
148	17641618	4283	17647406	17394	17653209	654982	17641618	0.87442	17647406	1.0853	17653209	1.21927	17641618	4898.10388600444	17647406	16026.9050032249	17653209	537191.926316567	17658185	91911	17663973	2252466	17669776	1337471	17658185	0.8739	17663973	1.08548	17669776	1.21947	17658185	105173.36079643	17663973	2075087.51888565	17669776	1096764.16804021	17674753	25788	17680525	238254	17686328	4168365	17674753	0.87409	17680525	1.08436	17686328	1.21906	17674753	29502.6827901017	17680525	219718.543657088	17686328	3419327.18652076	17691304	88009	17697092	2371902	17702895	4407949	17691304	0.87452	17697092	1.08499	17702895	1.21875	17691304	100636.920825138	17697092	2186104.94105936	17702895	3616778.66666667
149	17761629	4304	17767417	17315	17773236	656908	17761629	0.87407	17767417	1.08444	17773236	1.22	17761629	4924.0907478806	17767417	15966.7662572388	17773236	538449.180327869	17778212	91734	17784000	2254955	17789803	1334666	17778212	0.87388	17784000	1.0845	17789803	1.21908	17778212	104973.222868128	17784000	2079257.72245274	17789803	1094814.12212488	17794779	25963	17800567	235415	17806370	4162569	17794779	0.87434	17800567	1.08441	17806370	1.21922	17794779	29694.3980602512	17800567	217090.399387685	17806370	3414124.60425518	17811346	87686	17817134	2372647	17822937	4408303	17811346	0.87384	17817134	1.08452	17822937	1.21956	17811346	100345.601025359	17817134	2187739.27636189	17822937	3614666.76506281
150	17881640	4252	17887428	17229	17893231	656623	17881640	0.8742	17887428	1.08503	17893231	1.21929	17881640	4863.87554335392	17887428	15878.8236269965	17893231	538528.979980152	17898207	91919	17903995	2253949	17909798	1332945	17898207	0.87408	17903995	1.08537	17909798	1.21903	17898207	105160.854841662	17903995	2076664.17903572	17909798	1093447.24904227	17914775	25882	17920547	234702	17926350	4155759	17914775	0.87284	17920547	1.08374	17926350	1.2184	17914775	29652.6282021906	17920547	216566.704191042	17926350	3410833.05975049	17931311	87569	17937098	2372879	17942901	4406862	17931311	0.87394	17937098	1.08467	17942901	1.21907	17931311	100200.242579582	17937098	2187650.62184812	17942901	3614937.6163797
151	18001651	4184	18007439	17004	18013242	655392	18001651	0.87456	18007439	1.08408	18013242	1.21861	18001651	4784.12001463593	18007439	15685.1892849236	18013242	537819.318731998	18018218	92194	18024006	2244987	18029809	1329275	18018218	0.87399	18024006	1.08411	18029809	1.21942	18018218	105486.33279557	18024006	2070811.08005645	18029809	1090087.91064604	18034786	25580	18040558	233530	18046361	4162602	18034786	0.87447	18040558	1.08488	18046361	1.21976	18034786	29252.0040710373	18040558	215258.830469729	18046361	3412640.19151308	18051337	87695	18057109	2373547	18062912	4408087	18051337	0.87393	18057109	1.08423	18062912	1.2193	18051337	100345.565434303	18057109	2189154.51518589	18062912	3615260.39530878
152	18121662	4267	18127450	17576	18133253	656419	18121662	0.87457	18127450	1.08449	18133253	1.21929	18121662	4878.96909338303	18127450	16206.6962350967	18133253	538361.669496182	18138229	91997	18144017	2252412	18149820	1328392	18138229	0.87423	18144017	1.08568	18149820	1.22011	18138229	105232.032760258	18144017	2074655.51543733	18149820	1088747.73585988	18154812	25753	18160584	231901	18166387	4152312	18154812	0.87477	18160584	1.08511	18166387	1.21943	18154812	29439.7384455343	18160584	213711.973901263	18166387	3405125.34544828	18171348	87656	18177120	2374013	18182923	4409851	18171348	0.87445	18177120	1.08476	18182923	1.22034	18171348	100241.294527989	18177120	2188514.51012205	18182923	3613624.8914237
153	18241673	4272	18247445	17295	18253264	657133	18241673	0.87404	18247445	1.08441	18253264	1.21979	18241673	4887.64816255549	18247445	15948.764766094	18253264	538726.338140172	18258240	91505	18264028	2251389	18269816	1326788	18258240	0.87332	18264028	1.08443	18269816	1.21872	18258240	104778.317226217	18264028	2076103.57515008	18269816	1088673.3622161	18274808	26284	18280595	230901	18286383	4152181	18274808	0.8743	18280595	1.08459	18286383	1.22023	18274808	30062.9074688322	18280595	212892.429397284	18286383	3402785.5404309	18291375	87841	18297147	2374064	18302950	4401906	18291375	0.87409	18297147	1.08538	18302950	1.21856	18291375	100494.228283129	18297147	2187311.35639131	18302950	3612383.4690126
154	18361684	4332	18367472	17209	18373275	657088	18361684	0.87415	18367472	1.08518	18373275	1.21956	18361684	4955.67122347423	18367472	15858.198639857	18373275	538791.039391256	18378251	91776	18384023	2246962	18389842	1325102	18378251	0.87367	18384023	1.0851	18389842	1.21879	18378251	105046.527865212	18384023	2070741.86710902	18389842	1087227.4961232	18394819	26117	18400591	229637	18406394	4144083	18394819	0.874	18400591	1.08487	18406394	1.21971	18394819	29882.1510297483	18400591	211672.3662743	18406394	3397596.9697715	18411355	87609	18417158	2372619	18422961	4403830	18411355	0.87412	18417158	1.08565	18422961	1.21972	18411355	100225.369514483	18417158	2185436.37452218	18422961	3610525.36647755
155	18481695	4202	18487483	17110	18493286	656667	18481695	0.87469	18487483	1.08483	18493286	1.22015	18481695	4803.9876984989	18487483	15772.0564512412	18493286	538185.468999713	18498262	92466	18504050	2250193	18509853	1320315	18498262	0.8744	18504050	1.08595	18509853	1.21879	18498262	105747.941445563	18504050	2072096.32119343	18509853	1083299.83015942	18514830	26000	18520633	227761	18526420	4142590	18514830	0.87448	18520633	1.08509	18526420	1.21999	18514830	29731.9549903943	18520633	209900.561243768	18526420	3395593.40650333	18531412	87636	18537200	2372556	18543003	4404085	18531412	0.87442	18537200	1.08458	18543003	1.21929	18531412	100221.861348094	18537200	2187534.34509211	18543003	3612007.80782259
156	18601706	4378	18607494	17089	18613297	658124	18601706	0.87451	18607494	1.08446	18613297	1.21975	18601706	5006.23206138295	18607494	15758.0731423935	18613297	539556.466489035	18618258	92299	18624045	2249183	18629833	1320814	18618258	0.8747	18624045	1.0852	18629833	1.21881	18618258	105520.749971419	18624045	2072597.6778474	18629833	1083691.46954817	18634825	25986	18640613	227358	18646416	4138740	18634825	0.87397	18640613	1.08489	18646416	1.21976	18634825	29733.2860395666	18640613	209567.790282886	18646416	3393077.32668722	18651392	87658	18657180	2376553	18662983	4403780	18651392	0.8742	18657180	1.08556	18662983	1.22033	18651392	100272.248913292	18657180	2189241.49747596	18662983	3608679.6194472
157	18721717	4181	18727505	16991	18733308	656006	18721717	0.87416	18727505	1.08409	18733308	1.21913	18721717	4782.87727647113	18727505	15673.0529753065	18733308	538093.558521241	18738284	91677	18744072	2245593	18749875	1320971	18738284	0.87445	18744072	1.08485	18749875	1.2203	18738284	104839.613471325	18744072	2069957.13693137	18749875	1082496.92698517	18754867	25947	18760639	225697	18766427	4135898	18754867	0.87435	18760639	1.08623	18766427	1.21995	18754867	29675.7591353577	18760639	207780.120232363	18766427	3390219.27128161	18771403	87854	18777191	2373753	18782994	4396374	18771403	0.87426	18777191	1.08481	18782994	1.21974	18771403	100489.556882392	18777191	2188173.96594795	18782994	3604353.38678735
158	18841728	4155	18847516	17460	18853319	655888	18841728	0.87504	18847516	1.08491	18853319	1.21953	18841728	4748.3543609435	18847516	16093.5008433879	18853319	537820.307823506	18858295	91323	18864083	2255505	18869886	1317941	18858295	0.87438	18864083	1.08496	18869886	1.2201	18858295	104443.14828793	18864083	2078883.09246424	18869886	1080190.96795345	18874863	26158	18880635	224732	18886438	4132427	18874863	0.8739	18880635	1.08511	18886438	1.21873	18874863	29932.4865545257	18880635	207105.270433412	18886438	3390764.97665603	18891430	86968	18897217	2370803	18903036	4388351	18891430	0.87413	18897217	1.0848	18903036	1.21908	18891430	99490.9224028463	18897217	2185474.74188791	18903036	3599723.56203038
159	18961739	4133	18967527	16988	18973330	654959	18961739	0.87391	18967527	1.08528	18973330	1.21975	18961739	4729.31995285556	18967527	15653.1033466018	18973330	536961.672473868	18978306	92241	18984094	2255311	18989897	1317385	18978306	0.87448	18984094	1.08464	18989897	1.21959	18978306	105480.971548806	18984094	2079317.56158725	18989897	1080186.78408318	18994874	26004	19000661	223916	19006464	4130431	18994874	0.87455	19000661	1.08484	19006464	1.21863	18994874	29734.1489909096	19000661	206404.631097673	19006464	3389405.31580545	19011441	87741	19017229	2368278	19023032	4388295	19011441	0.87454	19017229	1.08517	19023032	1.22013	19011441	100328.172524985	19017229	2182402.75717169	19023032	3596579.87263652
160	19081750	4142	19087538	17061	19093341	654350	19081750	0.87417	19087538	1.08503	19093341	1.22009	19081750	4738.20881521901	19087538	15723.9891984553	19093341	536312.894950373	19098317	92314	19104105	2253658	19109908	1316695	19098317	0.87458	19104105	1.08504	19109908	1.21902	19098317	105552.37942784	19104105	2077027.57502028	19109908	1080125.83878853	19114885	26166	19120672	222182	19126460	4126822	19114885	0.87426	19120672	1.08481	19126460	1.21989	19114885	29929.311646421	19120672	204811.902545146	19126460	3382946.00332817	19131436	88324	19137208	2369409	19143027	4389757	19131436	0.87425	19137208	1.08572	19143027	1.21993	19131436	101028.309979983	19137208	2182338.90874259	19143027	3598367.93914405
161	19201761	4104	19207533	17070	19213352	655124	19201761	0.87448	19207533	1.08475	19213352	1.21959	19201761	4693.0747415607	19207533	15736.3447799032	19213352	537167.408719324	19218328	91809	19224116	2253589	19229919	1315590	19218328	0.87457	19224116	1.08491	19229919	1.21823	19218328	104976.159712773	19224116	2077212.85636597	19229919	1079919.22707535	19234896	26043	19240683	221708	19246471	4124959	19234896	0.87421	19240683	1.08499	19246471	1.21999	19234896	29790.324979124	19240683	204341.053834598	19246471	3381141.64870204	19251463	87363	19257251	2370196	19263054	4387497	19251463	0.874	19257251	1.08509	19263054	1.21946	19251463	99957.6659038902	19257251	2184331.25362873	19263054	3597901.53018549
162	19321772	4244	19327544	17121	19333363	655114	19321772	0.87374	19327544	1.08429	19333363	1.219	19321772	4857.2801977705	19327544	15790.0561657859	19333363	537419.196062346	19338324	91844	19344111	2253732	19349899	1313255	19338324	0.8741	19344111	1.08567	19349899	1.21878	19338324	105072.646150326	19344111	2075890.46395314	19349899	1077516.04063079	19354875	26171	19360663	220196	19366466	4119865	19354875	0.87416	19360663	1.08433	19366466	1.21929	19354875	29938.4552027089	19360663	203071.020814697	19366466	3378904.93647943	19371427	87913	19377215	2365472	19383034	4381131	19371427	0.87386	19377215	1.08428	19383034	1.21896	19371427	100603.071430206	19377215	2181606.22717379	19383034	3594154.85331758
163	19441783	4278	19447571	17382	19453374	655406	19441783	0.8737	19447571	1.08431	19453374	1.21892	19441783	4896.41753462287	19447571	16030.4709907683	19453374	537694.02421816	19458350	91967	19464154	2249809	19469941	1311718	19458350	0.8739	19464154	1.08436	19469941	1.21963	19458350	105237.441354846	19464154	2074780.51569589	19469941	1075504.86622992	19474933	26151	19480705	219010	19486509	4117085	19474933	0.87345	19480705	1.08403	19486509	1.21948	19474933	29939.893525674	19480705	202033.154064002	19486509	3376098.82900909	19491485	88611	19497273	2368753	19503076	4379162	19491485	0.8736	19497273	1.08443	19503076	1.21853	19491485	101432.005494506	19497273	2184330.0166908	19503076	3593807.29239329
164	19561794	4214	19567582	17320	19573385	654798	19561794	0.87417	19567582	1.08407	19573385	1.21897	19561794	4820.57265749225	19567582	15976.8280646084	19573385	537173.187199029	19578361	92670	19584149	2249792	19589952	1309136	19578361	0.87435	19584149	1.08466	19589952	1.21902	19578361	105987.304855035	19584149	2074190.9907252	19589952	1073924.95611229	19594929	26190	19600701	217678	19606488	4110440	19594929	0.87448	19600701	1.08415	19606488	1.2192	19594929	29949.2269691703	19600701	200782.179587695	19606488	3371423.88451444	19611465	87679	19617252	2367620	19623056	4378689	19611465	0.87401	19617252	1.08444	19623056	1.21885	19611465	100318.074163911	19617252	2183265.09534875	19623056	3592475.69430201
165	19681805	4139	19687593	17326	19693396	654690	19681805	0.87417	19687593	1.08428	19693396	1.21918	19681805	4734.77698845762	19687593	15979.2673479175	19693396	536992.076641677	19698372	91707	19704145	2246411	19709963	1308880	19698372	0.87345	19704145	1.0836	19709963	1.21975	19698372	104993.989352567	19704145	2073099.85234404	19709963	1073072.35089158	19714924	26284	19720712	217353	19726515	4100991	19714924	0.87441	19720712	1.08418	19726515	1.21815	19714924	30059.1255818209	19720712	200476.858086296	19726515	3366573.08213274	19731491	88108	19737279	2366662	19743082	4380992	19731491	0.87387	19737279	1.08452	19743082	1.21932	19731491	100825.065513177	19737279	2182220.70593442	19743082	3592979.69359971
166	19801816	4171	19807588	17037	19813407	655358	19801816	0.87395	19807588	1.08507	19813407	1.21932	19801816	4772.58424394988	19807588	15701.2911609389	19813407	537478.266574812	19818384	92034	19824171	2247722	19829974	1306754	19818384	0.87368	19824171	1.08452	19829974	1.21879	19818384	105340.628147606	19824171	2072550.06823295	19829974	1072173.22098147	19834951	26078	19840738	215709	19846542	4100153	19834951	0.87381	19840738	1.08424	19846542	1.21915	19834951	29844.0164337785	19840738	198949.494576846	19846542	3363124.30791945	19851534	88136	19857306	2364852	19863124	4370892	19851534	0.87377	19857306	1.08378	19863124	1.21769	19851534	100868.649644643	19857306	2182040.63555334	19863124	3589494.86322463
167	19921827	4209	19927615	17112	19933418	656081	19921827	0.87402	19927615	1.08385	19933418	1.21873	19921827	4815.6792750738	19927615	15788.1625686211	19933418	538331.7059562	19938379	91746	19944167	2247789	19949970	1304448	19938379	0.87352	19944167	1.08498	19949970	1.21992	19938379	105030.222547852	19944167	2071733.11950451	19949970	1069289.78949439	19954946	26271	19960734	214481	19966537	4093113	19954946	0.87386	19960734	1.08457	19966537	1.21857	19954946	30063.1680131829	19960734	197756.714642669	19966537	3358947.78305719	19971513	87835	19977301	2362891	19983104	4372651	19971513	0.87416	19977301	1.08361	19983104	1.21975	19971513	100479.317287453	19977301	2180573.26898054	19983104	3584874.76941996
168	20041838	4152	20047626	16971	20053429	654210	20041838	0.87438	20047626	1.08498	20053429	1.21912	20041838	4748.50751389556	20047626	15641.7629818061	20053429	536624.778528775	20058406	91971	20064178	2249823	20069981	1303477	20058406	0.87362	20064178	1.08461	20069981	1.21912	20058406	105275.749181566	20064178	2074315.1916357	20069981	1069194.99310978	20074957	26036	20080745	214065	20086532	4086139	20074957	0.87428	20080745	1.08442	20086532	1.21895	20074957	29779.9332021778	20080745	197400.453698751	20086532	3352179.33467328	20091524	88042	20097312	2362045	20103115	4367247	20091524	0.87361	20097312	1.08415	20103115	1.21882	20091524	100779.52404391	20097312	2178706.82101185	20103115	3583176.35089677
169	20161849	4296	20167637	17027	20173440	654248	20161849	0.87416	20167637	1.08461	20173440	1.21922	20161849	4914.43214056923	20167637	15698.730419229	20173440	536611.93221896	20178417	91844	20184204	2248692	20190007	1302634	20178417	0.87337	20184204	1.08477	20190007	1.21954	20178417	105160.470361931	20184204	2072966.61965209	20190007	1068135.52651	20194984	26529	20200771	214028	20206575	4091131	20194984	0.87481	20200771	1.08517	20206575	1.21893	20194984	30325.442095998	20200771	197229.927108195	20206575	3356329.73181397	20211551	87907	20217339	2366979	20223142	4363165	20211551	0.87387	20217339	1.08515	20223142	1.2189	20211551	100595.054184261	20217339	2181245.91070359	20223142	3579592.25531217
170	20281860	4181	20287648	17060	20293451	653589	20281860	0.87408	20287648	1.08435	20293451	1.21955	20281860	4783.31502837269	20287648	15732.9275602896	20293451	535926.366282645	20298428	91667	20304200	2249086	20310018	1298602	20298428	0.87346	20304200	1.084	20310018	1.21881	20298428	104946.992420947	20304200	2074802.58302583	20310018	1065467.1359769	20314995	26468	20320782	212251	20326586	4085481	20314995	0.87413	20320782	1.08438	20326586	1.21855	20314995	30279.2490819443	20320782	195734.889983216	20326586	3352739.73164827	20331546	87860	20337334	2360337	20343137	4356674	20331546	0.8737	20337334	1.08369	20343137	1.2186	20331546	100560.833237954	20337334	2178055.53248623	20343137	3575146.88987363
171	20401871	4163	20407659	16865	20413462	653622	20401871	0.8741	20407659	1.0837	20413462	1.21918	20401871	4762.61297334401	20407659	15562.425025376	20413462	536116.078019653	20418423	92277	20424226	2247785	20430029	1303320	20418423	0.8734	20424226	1.08397	20430029	1.21941	20418423	105652.621937257	20424226	2073659.7876325	20430029	1068811.96644279	20435006	26298	20440793	211696	20446581	4083344	20435006	0.87402	20440793	1.08514	20446581	1.21882	20435006	30088.5563259422	20440793	195086.348305288	20446581	3350243.67831181	20451557	87497	20457345	2359047	20463148	4360616	20451557	0.87365	20457345	1.08461	20463148	1.21943	20451557	100151.090253534	20457345	2175018.67030546	20463148	3575946.13876975
172	20521882	4184	20527670	17044	20533473	652590	20521882	0.87406	20527670	1.08404	20533473	1.21816	20521882	4786.85673752374	20527670	15722.6670602561	20533473	535717.803900965	20538450	91514	20544237	2252805	20550056	1301884	20538450	0.87392	20544237	1.08468	20550056	1.21842	20538450	104716.678872208	20544237	2076930.52328797	20550056	1068501.83023916	20555032	26409	20560820	210690	20566608	4074408	20555032	0.87383	20560820	1.08336	20566608	1.21852	20555032	30222.125585068	20560820	194478.289765175	20566608	3343735.02281456	20571584	87673	20577372	2359426	20583175	4356338	20571584	0.87361	20577372	1.08353	20583175	1.21827	20571584	100357.138769016	20577372	2177536.38570229	20583175	3575839.51012501
173	20641893	4153	20647681	17160	20653484	653877	20641893	0.87389	20647681	1.08418	20653484	1.21915	20641893	4752.31436450812	20647681	15827.6300983232	20653484	536338.432514457	20658445	91888	20664233	2248632	20670020	1300557	20658445	0.87415	20664233	1.08425	20670020	1.21959	20658445	105116.970771607	20664233	2073905.46460687	20670020	1066388.70440066	20674997	26245	20680784	210151	20686587	4079275	20674997	0.87412	20680784	1.08427	20686587	1.21894	20674997	30024.4817645175	20680784	193817.9604711	20686587	3346575.71332469	20691564	87572	20697367	2362566	20703170	4355568	20691564	0.87413	20697367	1.08445	20703170	1.21979	20691564	100181.895141455	20697367	2178584.53593988	20703170	3570752.34261635
174	20761904	4198	20767692	17233	20773495	654591	20761904	0.87364	20767692	1.08502	20773495	1.21962	20761904	4805.18291287029	20767692	15882.6565408933	20773495	536717.174201801	20778487	92332	20784275	2250274	20790078	1299558	20778487	0.87419	20784275	1.08452	20790078	1.21967	20778487	105620.05971242	20784275	2074903.18297496	20790078	1065499.68434085	20795054	26515	20800842	208720	20806630	4069949	20795054	0.87336	20800842	1.08452	20806630	1.21961	20795054	30359.760007328	20800842	192453.804448051	20806630	3337090.54533826	20811622	87389	20817394	2359543	20823197	4352078	20811622	0.87445	20817394	1.0845	20823197	1.22013	20811622	99935.9597461261	20817394	2175696.63439373	20823197	3566896.969995
175	20881915	4225	20887703	17091	20893506	654259	20881915	0.87379	20887703	1.08418	20893506	1.21868	20881915	4835.2578994953	20887703	15763.987529746	20893506	536858.732398989	20898483	92358	20904270	2249265	20910089	1297190	20898483	0.87404	20904270	1.08439	20910089	1.22028	20898483	105667.93281772	20904270	2074221.45169173	20910089	1063026.51850395	20915065	26129	20920837	207626	20926656	4072492	20915065	0.87344	20920837	1.08416	20926656	1.22014	20915065	29915.0485436893	20920837	191508.633412043	20926656	3337725.17907781	20931633	87898	20937420	2358483	20943208	4351498	20931633	0.87346	20937420	1.08404	20943208	1.21946	20931633	100631.969409017	20937420	2175642.04272905	20943208	3568381.08671051
176	21001926	4214	21007714	17212	21013517	656482	21001926	0.87416	21007714	1.0851	21013517	1.22049	21001926	4820.62780269058	21007714	15862.1325223482	21013517	537883.964637154	21018494	92020	21024266	2250788	21030069	1295692	21018494	0.87442	21024266	1.08456	21030069	1.21961	21018494	105235.47036893	21024266	2075300.58272479	21030069	1062382.2369446	21035045	26569	21040817	206396	21046636	4062570	21035045	0.87442	21040817	1.08371	21046636	1.21929	21035045	30384.7121520551	21040817	190453.165514759	21046636	3331914.47481731	21051597	88342	21057400	2362227	21063203	4350791	21051597	0.87373	21057400	1.0846	21063203	1.21977	21051597	101109.038261248	21057400	2177970.68043518	21063203	3566894.57848611
177	21121937	4092	21127725	17292	21133528	652936	21121937	0.87362	21127725	1.08405	21133528	1.21938	21121937	4683.9587005792	21127725	15951.2937595129	21133528	535465.564467188	21138505	92012	21144292	2249408	21150111	1294432	21138505	0.87425	21144292	1.08387	21150111	1.21942	21138505	105246.78295682	21144292	2075348.51965642	21150111	1061514.49049548	21155087	26554	21160859	206298	21166647	4059589	21155087	0.8736	21160859	1.08504	21166647	1.21923	21155087	30396.0622710623	21160859	190129.396151294	21166647	3329633.45718199	21171639	87232	21177411	2358332	21183214	4342481	21171639	0.87389	21177411	1.08421	21183214	1.21925	21171639	99820.3435214958	21177411	2175161.63842798	21183214	3561600.16403527
178	21241948	4150	21247720	17111	21253539	653413	21241948	0.87414	21247720	1.08411	21253539	1.21972	21241948	4747.5232800238	21247720	15783.453708572	21253539	535707.375463221	21258516	92143	21264303	2246224	21270106	1293425	21258516	0.87411	21264303	1.08467	21270106	1.21913	21258516	105413.506309275	21264303	2070882.3881918	21270106	1060940.99890906	21275083	26529	21280870	205922	21286658	4056096	21275083	0.87389	21280870	1.08482	21286658	1.22005	21275083	30357.3676320818	21280870	189821.352851164	21286658	3324532.60112291	21291634	87419	21297422	2359942	21303225	4347931	21291634	0.87476	21297422	1.0845	21303225	1.22001	21291634	99934.8392701998	21297422	2176064.54587367	21303225	3563848.65697822
179	21361959	4126	21367763	16957	21373550	653641	21361959	0.8736	21367763	1.08515	21373550	1.22081	21361959	4722.98534798535	21367763	15626.4110952403	21373550	535415.83047321	21378527	91978	21384314	2249133	21390117	1291815	21378527	0.8737	21384314	1.08526	21390117	1.2199	21378527	105274.12155202	21384314	2072437.01970035	21390117	1058951.55340602	21395094	26335	21400881	205917	21406685	4046152	21395094	0.87414	21400881	1.08502	21406685	1.21884	21395094	30126.7531516691	21400881	189781.75517502	21406685	3319674.44455384	21411661	88394	21417449	2359295	21423268	4344904	21411661	0.87375	21417449	1.08495	21423268	1.21959	21411661	101166.237482117	21417449	2174565.64818655	21423268	3562593.98650366
180	21481970	4222	21487758	17063	21493561	654946	21481970	0.87446	21487758	1.08507	21493561	1.21957	21481970	4828.12249845619	21487758	15725.2527486706	21493561	537030.26476545	21498538	91609	21504325	2250636	21510128	1291021	21498538	0.87423	21504325	1.08545	21510128	1.21979	21498538	104788.213627993	21504325	2073458.93408264	21510128	1058396.11736446	21515105	26493	21520892	204137	21526680	4047262	21515105	0.87375	21520892	1.08525	21526680	1.21932	21515105	30321.0300429185	21520892	188101.35913384	21526680	3319277.95820621	21531657	88377	21537444	2362269	21543263	4348109	21531657	0.87435	21537444	1.08462	21543263	1.21964	21531657	101077.37176188	21537444	2177969.24268407	21543263	3565075.76006035
181	21601981	4098	21607769	16905	21613588	653582	21601981	0.87384	21607769	1.08516	21613588	1.21896	21601981	4689.64570173029	21607769	15578.3478933982	21613588	536180.022314104	21618549	91963	21624321	2249139	21630124	1292988	21618549	0.87404	21624321	1.08466	21630124	1.21912	21618549	105216.008420667	21624321	2073588.95875205	21630124	1060591.24614476	21635116	26546	21640904	203140	21646707	4043757	21635116	0.8745	21640904	1.08431	21646707	1.21912	21635116	30355.6317895941	21640904	187344.94747812	21646707	3316947.47030645	21651699	87721	21657471	2363658	21663274	4338779	21651699	0.87415	21657471	1.08465	21663274	1.21886	21651699	100350.0543385	21657471	2179189.6003319	21663274	3559702.50890176
182	21721992	4187	21727780	16961	21733583	652900	21721992	0.87387	21727780	1.08412	21733583	1.21946	21721992	4791.33051826931	21727780	15644.9470538317	21733583	535400.915159169	21738544	92251	21744332	2253212	21750135	1290953	21738544	0.87479	21744332	1.08428	21750135	1.21911	21738544	105455.023491352	21744332	2078072.08470137	21750135	1058930.69534332	21755111	26438	21760899	202858	21766702	4040622	21755111	0.8734	21760899	1.08424	21766702	1.21817	21755111	30270.2083810396	21760899	187096.952704198	21766702	3316960.68693204	21771679	87792	21777466	2358879	21783269	4338988	21771679	0.87326	21777466	1.08482	21783269	1.21983	21771679	100533.632595103	21777466	2174442.76469829	21783269	3557043.1945435
