WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
153	18241689	14678	18247492	248590	18253295	1404907	18241689	0.84991	18247492	1.03914	18253295	1.11031	18241689	17270.0638891177	18247492	239226.668206401	18253295	1265328.60192199	18258272	16300	18264075	612652	18269878	934188	18258272	0.85067	18264075	1.03931	18269878	1.10998	18258272	19161.3669225434	18264075	589479.558553271	18269878	841625.975242797	18274854	14411	18280626	1164557	18286430	2591688	18274854	0.85011	18280626	1.0388	18286430	1.11036	18274854	16951.9238686758	18280626	1121059.8767809	18286430	2334097.04960553	18291406	17349	18297194	517063	18302997	1403416	18291406	0.85024	18297194	1.03833	18302997	1.10916	18291406	20404.8268724125	18297194	497975.595427273	18302997	1265296.26023297
154	18361700	14583	18367487	247325	18373306	1408014	18361700	0.85052	18367487	1.03919	18373306	1.11025	18361700	17145.9812820392	18367487	237997.863720783	18373306	1268195.45147489	18378267	16340	18384055	612569	18389842	932979	18378267	0.84967	18384055	1.0386	18389842	1.11002	18378267	19230.9955629833	18384055	589802.618910071	18389842	840506.477360768	18394819	14011	18400606	1160704	18406409	2587120	18394819	0.84986	18400606	1.0388	18406409	1.10974	18394819	16486.2447932601	18400606	1117350.78937235	18406409	2331284.80544993	18411386	17377	18417189	516113	18422992	1397447	18411386	0.84941	18417189	1.03864	18422992	1.10909	18411386	20457.7294828175	18417189	496912.308403297	18422992	1259994.22950347
155	18481711	14717	18487498	247152	18493317	1413539	18481711	0.85019	18487498	1.03905	18493317	1.10907	18481711	17310.2482974394	18487498	237863.432943554	18493317	1274526.405006	18498278	16299	18504050	610710	18509853	932708	18498278	0.84978	18504050	1.03831	18509853	1.11001	18498278	19180.2584198263	18504050	588176.94137589	18509853	840269.907478311	18514830	14030	18520617	1162752	18526420	2582044	18514830	0.85005	18520617	1.03844	18526420	1.11014	18514830	16504.9114757955	18520617	1119710.33473287	18526420	2325872.41248852	18531397	17573	18537184	516637	18542988	1398839	18531397	0.85055	18537184	1.0389	18542988	1.1104	18531397	20660.7489271648	18537184	497292.328424295	18542988	1259761.34726225
156	18601722	14740	18607509	247712	18613328	1417376	18601722	0.85036	18607509	1.03963	18613328	1.10969	18601722	17333.8350816125	18607509	238269.384300184	18613328	1277272.03092756	18618289	16125	18624077	612311	18629880	936547	18618289	0.85065	18624077	1.03839	18629880	1.10984	18618289	18956.0923999295	18624077	589673.436762681	18629880	843857.673178116	18634856	14254	18640644	1160727	18646431	2579201	18634856	0.85104	18640644	1.03826	18646431	1.11121	18634856	16748.9189697312	18640644	1117954.07701346	18646431	2321074.32438513	18651423	17225	18657211	517174	18663014	1394198	18651423	0.85066	18657211	1.03815	18663014	1.10993	18651423	20248.9831425011	18657211	498168.858064827	18663014	1256113.44859586
157	18721733	14650	18727520	246363	18733324	1416847	18721733	0.8502	18727520	1.03818	18733324	1.10909	18721733	17231.2397083039	18727520	237302.779864763	18733324	1277486.04711971	18738300	16327	18744088	610830	18749891	936135	18738300	0.84953	18744088	1.03802	18749891	1.11009	18738300	19218.8621943898	18744088	588456.86980983	18749891	843296.489473826	18754867	14208	18760639	1160684	18766442	2571380	18754867	0.8499	18760639	1.03809	18766442	1.1091	18754867	16717.2608542181	18760639	1118095.73351058	18766442	2318438.37345596	18771403	17345	18777191	516865	18783010	1393065	18771403	0.84972	18777191	1.03804	18783010	1.10875	18771403	20412.6065056725	18777191	497923.972101268	18783010	1256428.41037204
158	18841744	14684	18847531	247478	18853335	1421240	18841744	0.85025	18847531	1.03814	18853335	1.109	18841744	17270.2146427521	18847531	238385.959504498	18853335	1281550.94679892	18858311	16465	18864083	613160	18869886	936038	18858311	0.84973	18864083	1.03809	18869886	1.10947	18858311	19376.7432007814	18864083	590661.695999383	18869886	843680.315826476	18874863	14168	18880650	1160852	18886453	2568109	18874863	0.85016	18880650	1.03857	18886453	1.10907	18874863	16665.0983344312	18880650	1117740.73967089	18886453	2315551.76859892	18891430	17455	18897217	517947	18903021	1389716	18891430	0.84957	18897217	1.03765	18903021	1.10945	18891430	20545.6878185435	18897217	499153.857273647	18903021	1252617.06250845
159	18961755	14746	18967542	248024	18973346	1425007	18961755	0.84936	18967542	1.03822	18973346	1.10894	18961755	17361.3073372893	18967542	238893.4907823	18973346	1285017.22365502	18978322	16227	18984110	611250	18989897	936571	18978322	0.85023	18984110	1.0388	18989897	1.10968	18978322	19085.4239441092	18984110	588419.329996149	18989897	844000.973253551	18994874	14079	19000661	1158774	19006449	2565148	18994874	0.85034	19000661	1.03931	19006449	1.11	18994874	16556.9066491051	19000661	1114945.49268265	19006449	2310944.14414414	19011441	17531	19017229	517729	19023032	1384413	19011441	0.85052	19017229	1.03888	19023032	1.10958	19011441	20612.0961294267	19017229	498353.034036655	19023032	1247691.01822311
160	19081766	14740	19087553	247487	19093357	1428094	19081766	0.84969	19087553	1.03884	19093357	1.10967	19081766	17347.503207052	19087553	238233.99176004	19093357	1286953.77905143	19098333	16221	19104121	611122	19109908	939119	19098333	0.85104	19104121	1.03801	19109908	1.11009	19098333	19060.2086858432	19104121	588743.846398397	19109908	845984.559810466	19114885	14128	19120657	1160247	19126444	2556709	19114885	0.85074	19120657	1.03954	19126444	1.10972	19114885	16606.7188565249	19120657	1116115.78198049	19126444	2303922.61110911	19131421	17498	19137208	515606	19143012	1386211	19131421	0.84972	19137208	1.03848	19143012	1.10925	19131421	20592.6658193287	19137208	496500.654803174	19143012	1249683.1192247
161	19201777	14466	19207564	248015	19213368	1434083	19201777	0.85036	19207564	1.03894	19213368	1.10966	19201777	17011.6186085893	19207564	238719.271565249	19213368	1292362.52545825	19218328	16199	19224116	612905	19229919	938929	19218328	0.85037	19224116	1.0387	19229919	1.10937	19218328	19049.3549866529	19224116	590069.317416001	19229919	846362.34980214	19234896	14362	19240683	1160491	19246487	2555606	19234896	0.85046	19240683	1.03812	19246487	1.10989	19234896	16887.3315617431	19240683	1117877.50934381	19246487	2302575.93094811	19251463	17652	19257251	517275	19263038	1379995	19251463	0.85038	19257251	1.03794	19263038	1.1089	19251463	20757.7788753263	19257251	498366.957627609	19263038	1244471.99927856
162	19321788	14559	19327575	247201	19333394	1434195	19321788	0.84956	19327575	1.03735	19333394	1.10983	19321788	17137.1062667734	19327575	238300.477177423	19333394	1292265.48210086	19338371	16372	19344143	611833	19349946	938522	19338371	0.85009	19344143	1.03875	19349946	1.10902	19338371	19259.1372678187	19344143	589008.904933815	19349946	846262.465960938	19354922	14193	19360710	1158528	19366513	2547461	19354922	0.84974	19360710	1.03799	19366513	1.10942	19354922	16702.7561371714	19360710	1116126.35959884	19366513	2296209.7312109	19371490	17663	19377277	515838	19383080	1376356	19371490	0.85003	19377277	1.03849	19383080	1.10893	19371490	20779.2666141195	19377277	496719.275101349	19383080	1241156.7907803
163	19441799	14842	19447586	248053	19453390	1439167	19441799	0.8503	19447586	1.03751	19453390	1.10955	19441799	17455.0158767494	19447586	239084.924482656	19453390	1297072.68712541	19458366	16369	19464154	612661	19469941	941531	19458366	0.85004	19464154	1.03789	19469941	1.1088	19458366	19256.7408592537	19464154	590294.732582451	19469941	849144.11976912	19474933	14393	19480705	1157050	19486509	2542144	19474933	0.84967	19480705	1.03767	19486509	1.10873	19474933	16939.5176951052	19480705	1115046.20929583	19486509	2292843.16289809	19491485	17456	19497273	515180	19503076	1372063	19491485	0.84948	19497273	1.03806	19503076	1.10854	19491485	20549.0417667279	19497273	496291.158507215	19503076	1237720.78589857
164	19561810	14728	19567597	247496	19573416	1438919	19561810	0.84875	19567597	1.03726	19573416	1.10741	19561810	17352.5773195876	19567597	238605.556948113	19573416	1299355.25234556	19578377	16251	19584165	612887	19589952	943423	19578377	0.84934	19584165	1.03764	19589952	1.10913	19578377	19133.6802693856	19584165	590654.755021009	19589952	850597.315012668	19594929	14319	19600716	1158198	19606520	2541130	19594929	0.84982	19600716	1.03806	19606520	1.10963	19594929	16849.4504718646	19600716	1115733.19461303	19606520	2290069.66286059	19611480	17574	19617268	516165	19623087	1370908	19611480	0.85065	19617268	1.03919	19623087	1.10947	19611480	20659.4956797743	19617268	496699.352380219	19623087	1235642.24359379
165	19681821	14712	19687608	246521	19693427	1443925	19681821	0.84964	19687608	1.03767	19693427	1.10931	19681821	17315.5689468481	19687608	237571.67500265	19693427	1301642.4624316	19698388	16571	19704176	612633	19709979	942948	19698388	0.85029	19704176	1.0389	19709979	1.10809	19698388	19488.6450505122	19704176	589693.907017037	19709979	850966.97921649	19714955	14203	19720727	1159875	19726531	2530212	19714955	0.84965	19720727	1.03726	19726531	1.10864	19714955	16716.2949449773	19720727	1118210.47760446	19726531	2282266.56083129	19731523	17833	19737310	516955	19743113	1366139	19731523	0.84979	19737310	1.03755	19743113	1.10818	19731523	20985.1845750127	19737310	498245.867669028	19743113	1232777.16616434
166	19801832	14625	19807619	247205	19813438	1445119	19801832	0.84982	19807619	1.03764	19813438	1.10914	19801832	17209.5267233061	19807619	238237.731775953	19813438	1302918.47737887	19818399	16580	19824187	613911	19829990	944882	19818399	0.84952	19824187	1.03937	19829990	1.10963	19818399	19516.9036632451	19824187	590656.840201276	19829990	851528.888007714	19834966	14248	19840754	1158428	19846542	2525048	19834966	0.85069	19840754	1.03775	19846542	1.10888	19834966	16748.7568914646	19840754	1116288.12334377	19846542	2277115.64822163	19851518	17554	19857321	515672	19863124	1364844	19851518	0.84972	19857321	1.0376	19863124	1.10931	19851518	20658.5698818434	19857321	496985.350809561	19863124	1230354.00384023
167	19921843	14903	19927631	246598	19933434	1454100	19921843	0.85007	19927631	1.03853	19933434	1.10959	19921843	17531.497406096	19927631	237449.08668984	19933434	1310484.0526681	19938426	16428	19944198	612634	19950001	946628	19938426	0.8503	19944198	1.03902	19950001	1.10987	19938426	19320.239915324	19944198	589626.763681161	19950001	852917.909304693	19954993	14156	19960765	1159533	19966568	2527839	19954993	0.85	19960765	1.03896	19966568	1.10913	19954993	16654.1176470588	19960765	1116051.62855163	19966568	2279118.76876471	19971545	17650	19977332	515414	19983135	1362188	19971545	0.84999	19977332	1.03829	19983135	1.10895	19971545	20764.9501758844	19977332	496406.591607354	19983135	1228358.35700437
168	20041854	14602	20047642	247242	20053460	1455412	20041854	0.84966	20047642	1.0381	20053460	1.10977	20041854	17185.6978085352	20047642	238167.806569695	20053460	1311453.72464565	20058421	16325	20064209	611854	20070012	952583	20058421	0.85044	20064209	1.03861	20070012	1.11087	20058421	19195.9456281454	20064209	589108.520041209	20070012	857510.779839225	20074988	14413	20080776	1155600	20086564	2522107	20074988	0.85032	20080776	1.03894	20086564	1.10975	20074988	16950.0893781165	20080776	1112287.52382236	20086564	2272680.33340843	20091556	17687	20097343	515223	20103146	1360331	20091556	0.84967	20097343	1.039	20103146	1.10928	20091556	20816.3169230407	20097343	495883.54186718	20103146	1226318.87350353
169	20161865	14779	20167653	247149	20173471	1455611	20161865	0.84976	20167653	1.03852	20173471	1.10915	20161865	17391.9694972698	20167653	237981.935831761	20173471	1312366.22638958	20178448	16457	20184251	612627	20190070	949214	20178448	0.84975	20184251	1.03867	20190070	1.10963	20178448	19366.8726095911	20184251	589818.710466269	20190070	855432.892045096	20195046	14468	20200818	1152982	20206621	2517342	20195046	0.84966	20200818	1.03756	20206621	1.10949	20195046	17027.9876656545	20200818	1111243.68711207	20206621	2268918.15158316	20211598	17837	20217385	515815	20223189	1357472	20211598	0.85058	20217385	1.03816	20223189	1.10942	20211598	20970.3966705072	20217385	496855.012714803	20223189	1223587.09956554
170	20281876	14672	20287679	246664	20293482	1462131	20281876	0.84979	20287679	1.03909	20293482	1.11048	20281876	17265.4420503889	20287679	237384.634632226	20293482	1316665.76615518	20298459	16622	20304231	611556	20310034	951539	20298459	0.85059	20304231	1.03921	20310034	1.10949	20298459	19541.7298580985	20304231	588481.635088192	20310034	857636.391495192	20315026	14580	20320798	1157344	20326601	2511318	20315026	0.85044	20320798	1.03913	20326601	1.10939	20315026	17144.0666008184	20320798	1113762.4743776	20326601	2263692.65993023	20331593	17921	20337381	513689	20343184	1352956	20331593	0.85005	20337381	1.03821	20343184	1.1088	20331593	21082.2892771014	20337381	494783.32899895	20343184	1220198.41269841
171	20401887	14645	20407690	246644	20413493	1463414	20401887	0.85001	20407690	1.03824	20413493	1.10926	20401887	17229.2090681286	20407690	237559.716443212	20413493	1319270.50466076	20418454	16473	20424257	611983	20430076	949520	20418454	0.84992	20424257	1.03875	20430076	1.10844	20418454	19381.8241716867	20424257	589153.309265945	20430076	856627.332106384	20435037	14427	20440825	1156796	20446628	2501262	20435037	0.85036	20440825	1.03873	20446628	1.10819	20435037	16965.7556799473	20440825	1113663.80098774	20446628	2257069.63607324	20451604	17637	20457392	514300	20463195	1350958	20451604	0.85002	20457392	1.0384	20463195	1.10892	20451604	20748.9235547399	20457392	495281.201848999	20463195	1218264.61782635
172	20521898	14661	20527686	246664	20533504	1465744	20521898	0.84944	20527686	1.03801	20533504	1.1091	20521898	17259.6063288755	20527686	237631.62204603	20533504	1321561.62654405	20538481	16622	20544268	610459	20550056	951436	20538481	0.85057	20544268	1.03776	20550056	1.10873	20538481	19542.1893553735	20544268	588246.800801727	20550056	858131.375537778	20555048	14422	20560820	1152052	20566623	2499402	20555048	0.84987	20560820	1.038	20566623	1.10907	20555048	16969.6541824044	20560820	1109876.68593449	20566623	2253601.66626092	20571600	17551	20577403	513089	20583206	1348750	20571600	0.8502	20577403	1.03799	20583206	1.10922	20571600	20643.3780286991	20577403	494310.157130608	20583206	1215944.537603
173	20641909	14849	20647697	248085	20653515	1469613	20641909	0.84951	20647697	1.03806	20653515	1.10835	20641909	17479.4881755365	20647697	238989.075775967	20653515	1325946.67749357	20658476	16446	20664248	611338	20670051	954895	20658476	0.84955	20664248	1.03813	20670051	1.10792	20658476	19358.4839032429	20664248	588883.858476299	20670051	861880.82171998	20675028	14611	20680815	1156264	20686619	2492077	20675028	0.85044	20680815	1.03909	20686619	1.1085	20675028	17180.5183199285	20680815	1112765.97792299	20686619	2248152.45827695	20691595	17873	20697398	513995	20703201	1343190	20691595	0.85043	20697398	1.03876	20703201	1.10877	20691595	21016.4269839963	20697398	494815.934383303	20703201	1211423.46924971
174	20761920	14681	20767708	247486	20773526	1474513	20761920	0.85036	20767708	1.03881	20773526	1.10927	20761920	17264.4527023849	20767708	238239.909126789	20773526	1329264.29093007	20778503	16234	20784290	611303	20790078	955678	20778503	0.85096	20784290	1.03882	20790078	1.10933	20778503	19077.2774278462	20784290	588459.020812075	20790078	861491.170346065	20795054	14718	20800826	1153368	20806630	2489214	20795054	0.85047	20800826	1.03877	20806630	1.10987	20795054	17305.7250696674	20800826	1110320.86024818	20806630	2242797.80514835	20811590	17889	20817394	513787	20823212	1343578	20811590	0.85079	20817394	1.03895	20823212	1.11101	20811590	21026.3402249674	20817394	494525.241830694	20823212	1209330.24905266
175	20881931	14702	20887719	246870	20893537	1477276	20881931	0.85091	20887719	1.03907	20893537	1.10965	20881931	17277.9729936186	20887719	237587.458015341	20893537	1331299.05826161	20898498	16549	20904286	612644	20910089	959027	20898498	0.85116	20904286	1.03913	20910089	1.10995	20898498	19442.8779547911	20904286	589573.970533042	20910089	864027.208432812	20915081	14471	20920853	1153770	20926656	2485766	20915081	0.85035	20920853	1.03932	20926656	1.10963	20915081	17017.6985946963	20920853	1110120.07851287	20926656	2240175.5540135	20931648	17792	20937436	513620	20943239	1338768	20931648	0.85097	20937436	1.03852	20943239	1.10931	20931648	20907.9050965369	20937436	494569.194623117	20943239	1206847.49979717
176	21001942	14777	21007745	247306	21013548	1483140	21001942	0.85086	21007745	1.03954	21013548	1.11012	21001942	17367.1344286957	21007745	237899.455528407	21013548	1336017.72781321	21018525	16609	21024297	612928	21030100	956522	21018525	0.85126	21024297	1.03983	21030100	1.10906	21018525	19511.0776965909	21024297	589450.198590154	21030100	862461.904676032	21035076	14469	21040864	1151579	21046652	2478301	21035076	0.85018	21040864	1.03918	21046652	1.10932	21035076	17018.7489708062	21040864	1108161.24251814	21046652	2234072.22442577	21051644	17792	21057447	512148	21063250	1334424	21051644	0.85105	21057447	1.0393	21063250	1.1097	21051644	20905.9397215205	21057447	492781.679976908	21063250	1202508.78615842
177	21121953	14689	21127741	246622	21133559	1483656	21121953	0.84987	21127741	1.0384	21133559	1.10849	21121953	17283.8198783343	21127741	237501.926040062	21133559	1338447.79835632	21138536	16647	21144323	610766	21150158	959121	21138536	0.85037	21144323	1.03863	21150158	1.10855	21138536	19576.1844844009	21144323	588049.642317284	21150158	865203.193360696	21155119	14692	21160906	1148767	21166709	2466602	21155119	0.84963	21160906	1.03831	21166709	1.1085	21155119	17292.2330896979	21160906	1106381.52382237	21166709	2225170.95173658	21171701	18051	21177473	513511	21183277	1326128	21171701	0.84968	21177473	1.03833	21183277	1.10775	21171701	21244.4685057904	21177473	494554.717671646	21183277	1197136.53802753
178	21241964	14616	21247752	245516	21253570	1484991	21241964	0.85012	21247752	1.03773	21253570	1.1089	21241964	17192.8668893803	21247752	236589.478958881	21253570	1339156.82207593	21258547	16623	21264319	612048	21270122	957974	21258547	0.84955	21264319	1.03826	21270122	1.10898	21258547	19566.8294979695	21264319	589493.961050219	21270122	863833.43252358	21275114	14732	21280886	1151195	21286689	2465628	21275114	0.85054	21280886	1.03789	21286689	1.10892	21275114	17320.7609283514	21280886	1109168.60168226	21286689	2223449.84309057	21291650	17816	21297453	512550	21303257	1328246	21291650	0.85014	21297453	1.03797	21303257	1.10864	21291650	20956.5483332157	21297453	493800.398855458	21303257	1198085.94313754
179	21361975	14792	21367763	246306	21373581	1491669	21361975	0.84956	21367763	1.03787	21373581	1.10809	21361975	17411.3658835162	21367763	237318.739341151	21373581	1346162.3153354	21378542	16399	21384330	611521	21390133	962779	21378542	0.85025	21384330	1.03959	21390133	1.10895	21378542	19287.2684504558	21384330	588232.861031753	21390133	868189.72902295	21395109	14677	21400897	1153591	21406685	2461991	21395109	0.84967	21400897	1.03846	21406685	1.1083	21395109	17273.765108807	21400897	1110867.05313638	21406685	2221412.07254354	21411677	17855	21417464	512601	21423268	1325733	21411677	0.84952	21417464	1.0386	21423268	1.10879	21411677	21017.751200678	21417464	493549.971114962	21423268	1195657.42836786
180	21481986	14642	21487774	246663	21493592	1495865	21481986	0.84872	21487774	1.0376	21493592	1.1084	21481986	17251.8616269205	21487774	237724.556669237	21493592	1349571.45434861	21498569	16761	21504356	611488	21510144	962082	21498569	0.84905	21504356	1.03677	21510144	1.10728	21498569	19740.8868735646	21504356	589801.016618922	21510144	868869.662596633	21515120	14740	21520892	1146902	21526696	2453657	21515120	0.84904	21520892	1.03813	21526696	1.10866	21515120	17360.7839442194	21520892	1104776.8583896	21526696	2213173.56087529	21531657	17754	21537460	513359	21543279	1318521	21531657	0.84893	21537460	1.03772	21543279	1.10691	21531657	20913.3850847538	21537460	494698.955402228	21543279	1191172.72406971
181	21601997	14702	21607800	247536	21613603	1497412	21601997	0.84941	21607800	1.03849	21613603	1.10873	21601997	17308.4847129184	21607800	238361.46713016	21613603	1350565.06092556	21618580	16595	21624336	609982	21630139	964376	21618580	0.84929	21624336	1.03761	21630139	1.10872	21618580	19539.8509343098	21624336	587872.129220035	21630139	869810.231618443	21635116	14652	21640904	1150382	21646707	2447186	21635116	0.84879	21640904	1.03874	21646707	1.10792	21635116	17262.2203371859	21640904	1107478.29100641	21646707	2208811.10549498	21651683	18062	21657471	512677	21663274	1318712	21651683	0.84911	21657471	1.03804	21663274	1.10766	21651683	21271.6844696211	21657471	493889.44549343	21663274	1190538.61293177
182	21722008	14838	21727811	245671	21733614	1501846	21722008	0.84921	21727811	1.03761	21733614	1.10835	21722008	17472.7099304059	21727811	236766.222376423	21733614	1355028.64618577	21738591	16504	21744394	610924	21750213	965509	21738591	0.84895	21744394	1.03884	21750213	1.10758	21738591	19440.4853053772	21744394	588082.861653383	21750213	871728.453023709	21755174	14757	21760961	1146775	21766765	2442194	21755174	0.84885	21760961	1.03764	21766765	1.10793	21755174	17384.6969429228	21760961	1105176.16899888	21766765	2204285.4692986	21771757	17993	21777544	510864	21783347	1312663	21771757	0.84963	21777544	1.03752	21783347	1.10854	21771757	21177.4537151466	21777544	492389.544297941	21783347	1184136.79253793
183	21842019	14939	21847807	246117	21853610	1501784	21842019	0.84921	21847807	1.0375	21853610	1.10671	21842019	17591.6439985398	21847807	237221.204819277	21853610	1356980.60015722	21858586	16665	21864374	609390	21870177	966502	21858586	0.84909	21864374	1.03712	21870177	1.1073	21858586	19626.8946754761	21864374	587579.065103363	21870177	872845.660615913	21875154	14520	21880941	1147113	21886729	2434707	21875154	0.84909	21880941	1.03661	21886729	1.10785	21875154	17100.6607073455	21880941	1106600.36079143	21886729	2197686.50990658	21891705	17955	21897493	511036	21903312	1309358	21891705	0.84925	21897493	1.03734	21903312	1.10732	21891705	21142.1842802473	21897493	492640.792796962	21903312	1182456.74240509
184	21962030	14882	21967818	245575	21973636	1503642	21962030	0.84841	21967818	1.03737	21973636	1.10715	21962030	17541.0473709645	21967818	236728.457541668	21973636	1358119.49600325	21978613	16691	21984385	610974	21990188	968750	21978613	0.8494	21984385	1.0368	21990188	1.10674	21978613	19650.3414174712	21984385	589288.194444445	21990188	875318.502990766	21995165	14610	22000952	1145934	22006755	2431452	21995165	0.84895	22000952	1.03637	22006755	1.10787	21995165	17209.4940809235	22000952	1105718.99997105	22006755	2194708.76546887	22011732	17997	22017519	509434	22023323	1306453	22011732	0.84863	22017519	1.03689	22023323	1.10753	22011732	21207.1220673321	22017519	491309.589252476	22023323	1179609.58168176
185	22082041	14682	22087829	244974	22093648	1512463	22082041	0.84904	22087829	1.03721	22093648	1.10784	22082041	17292.4714972204	22087829	236185.53619807	22093648	1365235.95465049	22098624	16549	22104427	611638	22110246	971334	22098624	0.8487	22104427	1.03749	22110246	1.10683	22098624	19499.234122776	22104427	589536.284687081	22110246	877581.923149897	22115222	14632	22120994	1147762	22126798	2423251	22115222	0.84876	22120994	1.03768	22126798	1.10709	22115222	17239.2666949432	22120994	1106084.72746897	22126798	2188847.3385181	22131758	17851	22137546	511144	22143349	1303003	22131758	0.84887	22137546	1.03681	22143349	1.10723	22131758	21029.1328471969	22137546	492996.788225422	22143349	1176813.30888795
186	22202052	14865	22207855	247093	22213659	1513399	22202052	0.84898	22207855	1.03785	22213659	1.10706	22202052	17509.2463897854	22207855	238081.611022788	22213659	1367043.3400177	22218635	16794	22224407	609955	22230195	972918	22218635	0.84966	22224407	1.03797	22230195	1.10764	22218635	19765.5532801356	22224407	587642.224727112	22230195	878370.228594128	22235171	14913	22240959	1144064	22246762	2415770	22235171	0.84972	22240959	1.0376	22246762	1.10694	22235171	17550.4872193193	22240959	1102606.01387818	22246762	2182385.67582705	22251738	18139	22257526	511785	22263345	1301795	22251738	0.84871	22257526	1.03708	22263345	1.10742	22251738	21372.4358143535	22257526	493486.519844178	22263345	1175520.57936465
187	22322063	14716	22327851	245123	22333670	1517817	22322063	0.84909	22327851	1.03724	22333670	1.10729	22322063	17331.4960722656	22327851	236322.355481856	22333670	1370749.30686631	22338630	16769	22344418	610172	22350221	972120	22338630	0.84922	22344418	1.03734	22350221	1.10737	22338630	19746.3554791456	22344418	588208.302003201	22350221	877863.767304514	22355198	14800	22360985	1144425	22366773	2412783	22355198	0.84883	22360985	1.03709	22366773	1.10756	22355198	17435.7645229316	22360985	1103496.32143787	22366773	2178467.08079021	22371765	18338	22377552	510851	22383356	1299356	22371765	0.84931	22377552	1.03736	22383356	1.10808	22371765	21591.6449823975	22377552	492452.957507519	22383356	1172619.30546531
188	22442074	14797	22447862	245917	22453665	1520498	22442074	0.84857	22447862	1.03658	22453665	1.10856	22442074	17437.571443723	22447862	237238.804530282	22453665	1371597.38760193	22458641	16590	22464429	609731	22470217	976386	22458641	0.8493	22464429	1.03749	22470217	1.10796	22458641	19533.7336630166	22464429	587698.194681395	22470217	881246.615401278	22475209	14993	22480981	1145730	22486784	2409631	22475209	0.84957	22480981	1.03748	22486784	1.10775	22475209	17647.7512153207	22480981	1104339.36075876	22486784	2175248.02527646	22491760	18062	22497548	509805	22503351	1294984	22491760	0.84943	22497548	1.03717	22503351	1.10801	22491760	21263.6709322722	22497548	491534.656806502	22503351	1168747.57448038
189	22562085	15222	22567873	245779	22573692	1523940	22562085	0.84899	22567873	1.03761	22573692	1.10759	22562085	17929.5398061226	22567873	236870.30772641	22573692	1375906.24689642	22578652	16893	22584440	610115	22590243	978491	22578652	0.84933	22584440	1.03702	22590243	1.10773	22578652	19889.7954858536	22584440	588334.844072438	22590243	883329.872802939	22595235	14835	22601007	1141737	22606795	2396703	22595235	0.84914	22601007	1.03658	22606795	1.10731	22595235	17470.6173304755	22601007	1101446.10160335	22606795	2164437.23979735	22611771	18031	22617559	510340	22623346	1291786	22611771	0.84971	22617559	1.03751	22623346	1.10817	22611771	21220.1810029304	22617559	491889.234802556	22623346	1165692.98934279
190	22682096	14877	22687868	245734	22693671	1526477	22682096	0.8494	22687868	1.03644	22693671	1.10752	22682096	17514.7162703085	22687868	237094.284280807	22693671	1378283.91360878	22698648	17031	22704435	610787	22710239	978762	22698648	0.84832	22704435	1.03614	22710239	1.10708	22698648	20076.1505092418	22704435	589483.081436871	22710239	884093.290457781	22715199	14836	22720987	1146466	22726790	2398724	22715199	0.84864	22720987	1.03883	22726790	1.10785	22715199	17482.0889894419	22720987	1103612.71815408	22726790	2165206.4810218	22731751	18218	22737539	510179	22743342	1289152	22731751	0.84901	22737539	1.03779	22743342	1.10829	22731751	21457.9333576754	22737539	491601.383709614	22743342	1163190.13976486
191	22802107	14937	22807895	246565	22813714	1532283	22802107	0.84922	22807895	1.03805	22813714	1.10715	22802107	17589.0817456018	22807895	237527.094070613	22813714	1383988.61942826	22818674	16623	22824462	610787	22830265	980830	22818674	0.84866	22824462	1.03735	22830265	1.10724	22818674	19587.349468574	22824462	588795.488504362	22830265	885833.243018677	22835257	14968	22841045	1142367	22846848	2393031	22835257	0.84875	22841045	1.03655	22846848	1.10788	22835257	17635.3460972018	22841045	1102085.76527905	22846848	2160009.2067733	22851824	18129	22857612	508458	22863415	1282140	22851824	0.84856	22857612	1.03788	22863415	1.10627	22851824	21364.429150561	22857612	489900.566539484	22863415	1158975.65693728
