WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
65	7680704	23916	7686492	121089	7692311	2272133	7680704	0.84841	7686492	1.01042	7692311	1.09818	7680704	28189.2009759432	7686492	119840.264444488	7692311	2068998.7069515	7697287	24852	7703059	112649	7708862	2201861	7697287	0.84786	7703059	1.00958	7708862	1.09783	7697287	29311.4429268983	7703059	111580.062996494	7708862	2005648.4155106	7713854	26201	7719626	166207	7725429	2459902	7713854	0.84822	7719626	1.00941	7725429	1.09648	7713854	30889.391903044	7719626	164657.572245173	7725429	2243453.59696483	7730421	28503	7736209	901168	7742012	2694693	7730421	0.84816	7736209	1.00896	7742012	1.09767	7730421	33605.6876061121	7736209	893165.239454488	7742012	2454920.87785947
66	7800715	24001	7806503	120634	7812322	2320004	7800715	0.84814	7806503	1.01011	7812322	1.09702	7800715	28298.3941330441	7806503	119426.597103286	7812322	2114823.79537292	7817298	24919	7823086	111803	7828904	2258543	7817298	0.84781	7823086	1.00902	7828904	1.09843	7817298	29392.1987237707	7823086	110803.551961309	7828904	2056155.6039074	7833881	26202	7839668	164956	7845472	2510804	7833881	0.84832	7839668	1.00913	7845472	1.09721	7833881	30886.9294605809	7839668	163463.577537086	7845472	2288353.18671904	7850448	28895	7856236	903438	7862039	2742265	7850448	0.84833	7856236	1.00979	7862039	1.09723	7850448	34061.0375679276	7856236	894679.091692332	7862039	2499261.77738487
67	7920726	24118	7926529	120131	7932333	2368392	7920726	0.84834	7926529	1.00959	7932333	1.09847	7920726	28429.6390598109	7926529	118989.886983825	7932333	2156082.55118483	7937309	25107	7943081	112192	7948884	2303438	7937309	0.8491	7943081	1.01018	7948884	1.09945	7937309	29568.9553645036	7943081	111061.394998911	7948884	2095082.08649779	7953861	25999	7959648	165111	7965451	2558446	7953861	0.84899	7959648	1.01019	7965451	1.09835	7953861	30623.4466837065	7959648	163445.490452291	7965451	2329354.03104657	7970428	28521	7976216	906140	7982019	2778582	7970428	0.84914	7976216	1.01024	7982019	1.09791	7970428	33588.1009020892	7976216	896955.178967374	7982019	2530792.14143236
68	8040737	23859	8046525	118733	8052344	2399887	8040737	0.84826	8046525	1.00971	8052344	1.09775	8040737	28126.9893664678	8046525	117591.189549475	8052344	2186187.20109315	8057320	25021	8063108	110282	8068911	2335808	8057320	0.84893	8063108	1.00947	8068911	1.09695	8057320	29473.5726149388	8063108	109247.426867564	8068911	2129365.96927845	8073887	26184	8079690	162885	8085478	2596711	8073887	0.84811	8079690	1.00979	8085478	1.09699	8073887	30873.3536923276	8079690	161305.816060765	8085478	2367123.67478281	8090455	28735	8096242	907997	8102045	2804370	8090455	0.84847	8096242	1.01017	8102045	1.0979	8090455	33866.8426697467	8096242	898855.638159914	8102045	2554303.67064396
69	8160748	23733	8166551	118159	8172355	2434773	8160748	0.84961	8166551	1.0104	8172355	1.09819	8160748	27933.993243959	8166551	116942.7949327	8172355	2217078.10123931	8177331	24854	8183103	109943	8188906	2377862	8177331	0.84838	8183103	1.01032	8188906	1.09809	8177331	29295.834413824	8183103	108819.977828807	8188906	2165452.74066789	8193898	25872	8199686	160989	8205489	2623688	8193898	0.84898	8199686	1.01004	8205489	1.09827	8193898	30474.2161181653	8199686	159388.73707972	8205489	2388928.04137416	8210481	28957	8216269	909688	8222056	2820731	8210481	0.84934	8216269	1.01056	8222056	1.09787	8210481	34093.5314479478	8216269	900182.077264091	8222056	2569275.9616348
70	8280759	23881	8286547	116928	8292366	2467269	8280759	0.84843	8286547	1.01042	8292366	1.09793	8280759	28147.2838065604	8286547	115722.174937155	8292366	2247200.64120663	8297342	25026	8303114	108577	8308917	2408799	8297342	0.84858	8303114	1.01013	8308917	1.09709	8297342	29491.6212967546	8303114	107488.145090236	8308917	2195625.70071735	8313894	26299	8319681	159990	8325485	2651612	8313894	0.84917	8319681	1.0106	8325485	1.0984	8313894	30970.2415299646	8319681	158311.893924401	8325485	2414067.73488711	8330445	29520	8336249	909476	8342052	2836742	8330445	0.84838	8336249	1.01031	8342052	1.09797	8330445	34795.7283292864	8336249	900194.98965664	8342052	2583624.32489048
71	8400770	24045	8406573	115853	8412377	2494272	8400770	0.84839	8406573	1.00947	8412377	1.0976	8400770	28341.9182215726	8406573	114766.164422915	8412377	2272478.13411079	8417353	24955	8423141	107057	8428928	2444659	8417353	0.84828	8423141	1.00955	8428928	1.09793	8417353	29418.3524308012	8423141	106044.277153187	8428928	2226607.34290893	8433920	26402	8439692	158500	8445496	2684642	8433920	0.84882	8439692	1.00977	8445496	1.09788	8433920	31104.3566362715	8439692	156966.4379017	8445496	2445296.38940503	8450488	29648	8456275	909165	8462078	2843437	8450488	0.84872	8456275	1.00988	8462078	1.09729	8450488	34932.6043924969	8456275	900270.329148018	8462078	2591326.81424236
72	8520781	24180	8526569	115687	8532372	2524215	8520781	0.84882	8526569	1.01031	8532372	1.09793	8520781	28486.6049339083	8526569	114506.43861785	8532372	2299067.33580465	8537348	25087	8543136	106429	8548939	2476777	8537348	0.84913	8543136	1.00953	8548939	1.09784	8537348	29544.3571655695	8543136	105424.306360386	8548939	2256045.50754208	8553916	26259	8559703	158220	8565491	2707310	8553916	0.84914	8559703	1.01107	8565491	1.09921	8553916	30924.2292201522	8559703	156487.681367264	8565491	2462959.7620109	8570467	29557	8576271	911498	8582074	2852527	8570467	0.84938	8576271	1.00979	8582074	1.09803	8570467	34798.3234830111	8576271	902660.949306291	8582074	2597858.89274428
73	8640792	23921	8646580	114266	8652399	2541786	8640792	0.84794	8646580	1.01045	8652399	1.09721	8640792	28210.7224567776	8646580	113084.269384927	8652399	2316590.26075227	8657375	25231	8663178	105166	8668982	2499743	8657375	0.84829	8663178	1.00987	8668982	1.09724	8657375	29743.3660658501	8663178	104138.156396368	8668982	2278209.87204258	8673958	26354	8679730	156226	8685533	2720849	8673958	0.84843	8679730	1.01028	8685533	1.09788	8673958	31062.0793701307	8679730	154636.338440828	8685533	2478275.40350494	8690525	29746	8696297	912409	8702100	2856970	8690525	0.84798	8696297	1.00982	8702100	1.09879	8690525	35078.6575155074	8696297	903536.273791369	8702100	2600105.5706732
74	8760819	23969	8766606	113278	8772410	2562383	8760819	0.84855	8766606	1.00989	8772410	1.09814	8760819	28247.0096046196	8766606	112168.652031409	8772410	2333384.63219626	8777386	25075	8783158	104479	8788977	2527254	8777386	0.84835	8783158	1.01012	8788977	1.09872	8777386	29557.3760829846	8783158	103432.265473409	8788977	2300180.20969856	8793953	26259	8799741	153523	8805544	2733612	8793953	0.84898	8799741	1.00992	8805544	1.09689	8793953	30930.0572451648	8799741	152015.011089987	8805544	2492147.79968821	8810536	29699	8816339	910137	8822127	2850441	8810536	0.84962	8816339	1.00943	8822127	1.09732	8810536	34955.6272215814	8816339	901634.585855384	8822127	2597638.79269493
75	8880830	24189	8886633	112101	8892436	2578089	8880830	0.84879	8886633	1.01	8892436	1.09896	8880830	28498.21510621	8886633	110991.089108911	8892436	2345935.24787071	8897413	25098	8903216	102812	8909019	2548557	8897413	0.84907	8903216	1.00932	8909019	1.09806	8897413	29559.4002850177	8903216	101862.640193398	8909019	2320963.33533687	8913996	26579	8919783	152386	8925586	2748589	8913996	0.84936	8919783	1.0107	8925586	1.09809	8913996	31292.9735330131	8919783	150772.73177006	8925586	2503063.50117021	8930563	29862	8936350	910331	8942154	2852041	8930563	0.84937	8936350	1.0102	8942154	1.09838	8930563	35157.822856941	8936350	901139.378340923	8942154	2596588.61231996
76	9000841	23930	9006644	111261	9012447	2590591	9000841	0.84935	9006644	1.01029	9012447	1.09866	9000841	28174.4863719315	9006644	110127.785091409	9012447	2357955.14535889	9017424	25053	9023211	102137	9029030	2571864	9017424	0.84947	9023211	1.01045	9029030	1.09895	9017424	29492.5070926578	9023211	101080.706615864	9029030	2340292.09700168	9034007	26521	9039794	150371	9045597	2760326	9034007	0.84931	9039794	1.01107	9045597	1.09886	9034007	31226.5250615205	9039794	148724.618473498	9045597	2511990.60844876	9050574	30175	9056361	910287	9062165	2849501	9050574	0.84986	9056361	1.01018	9062165	1.09893	9050574	35505.8480220272	9056361	901113.66291156	9062165	2592977.7146861
77	9120852	24000	9126655	110211	9132458	2607706	9120852	0.84877	9126655	1.01025	9132458	1.0987	9120852	28276.2114589347	9126655	109092.798812175	9132458	2373446.80076454	9137450	24941	9143238	101407	9149041	2590881	9137450	0.84866	9143238	1.01155	9149041	1.09947	9137450	29388.6833360828	9143238	100249.122633582	9149041	2356481.75939316	9154018	26443	9159805	149205	9165608	2775267	9154018	0.84901	9159805	1.01038	9165608	1.10031	9154018	31145.687329949	9159805	147672.162948594	9165608	2522259.18150339	9170585	30144	9176372	910861	9182176	2848984	9170585	0.84954	9176372	1.01104	9182176	1.09905	9170585	35482.731831344	9176372	900914.899509416	9182176	2592224.19362176
78	9240863	24035	9246651	109078	9252469	2619143	9240863	0.84976	9246651	1.01076	9252469	1.09988	9240863	28284.4567877989	9246651	107916.815069848	9252469	2381298.86896752	9257446	25150	9263218	100776	9269021	2608517	9257446	0.84933	9263218	1.01061	9269021	1.09937	9257446	29611.57618358	9263218	99717.9921037789	9269021	2372738.02268572	9273997	26627	9279785	146400	9285588	2786080	9273997	0.8492	9279785	1.01086	9285588	1.09906	9273997	31355.3933113519	9279785	144827.176859308	9285588	2534966.24388113	9290565	30232	9296352	909086	9302155	2845097	9290565	0.84921	9296352	1.01003	9302155	1.09835	9290565	35600.1460180639	9296352	900058.414106512	9302155	2590337.32416807
79	9360874	24224	9366662	107760	9372480	2624334	9360874	0.84947	9366662	1.0105	9372480	1.09942	9360874	28516.6044710231	9366662	106640.277090549	9372480	2387016.79067145	9377441	25407	9383229	99347	9389032	2619464	9377441	0.84924	9383229	1.01093	9389032	1.09903	9377441	29917.3378550233	9383229	98272.8774494772	9389032	2383432.66334859	9394008	26670	9399796	144845	9405599	2787452	9394008	0.85003	9399796	1.01063	9405599	1.09938	9394008	31375.3632224745	9399796	143321.49253436	9405599	2535476.35940257	9410576	30307	9416363	910826	9422166	2842693	9410576	0.84909	9416363	1.01025	9422166	1.09938	9410576	35693.5071664959	9416363	901584.756248453	9422166	2585723.77158035
80	9480885	23917	9486673	106145	9492491	2631946	9480885	0.84992	9486673	1.01053	9492491	1.09932	9480885	28140.2955572289	9486673	105038.939962198	9492491	2394158.20689153	9497452	25148	9503224	98385	9509012	2627290	9497452	0.84909	9503224	1.01082	9509012	1.09704	9497452	29617.5905969921	9503224	97331.8691755209	9509012	2394889.8855101	9514004	26583	9519776	142032	9525595	2788104	9514004	0.84909	9519776	1.00978	9525595	1.09966	9514004	31307.6352330142	9519776	140656.380597754	9525595	2535423.67640907	9530571	31062	9536359	909930	9542177	2841223	9530571	0.84944	9536359	1.01041	9542177	1.09946	9530571	36567.6210209079	9536359	900555.220158154	9542177	2584198.60658869
81	9600896	23837	9606684	105122	9612502	2633375	9600896	0.84956	9606684	1.00985	9612502	1.09902	9600896	28058.0535806771	9606684	104096.648017032	9612502	2396111.99068261	9617463	25437	9623251	96827	9629070	2639750	9617463	0.84942	9623251	1.0099	9629070	1.09941	9617463	29946.3163099527	9623251	95877.8096841272	9629070	2401060.56885057	9634046	26461	9639834	139948	9645621	2789640	9634046	0.84931	9639834	1.01039	9645621	1.09962	9634046	31155.8794786356	9639834	138508.892605825	9645621	2536912.75167785	9650598	30922	9656385	911541	9662188	2838583	9650598	0.84939	9656385	1.01062	9662188	1.09959	9650598	36404.9494342999	9656385	901962.161841246	9662188	2581492.19254449
82	9720907	24067	9726695	104622	9732513	2641953	9720907	0.84965	9726695	1.01146	9732513	1.09931	9720907	28325.7812040252	9726695	103436.616376327	9732513	2403282.96840746	9737505	25276	9743309	96274	9749112	2650132	9737505	0.84963	9743309	1.01074	9749112	1.09873	9737505	29749.4203359109	9743309	95251.0042147338	9749112	2411995.66772546	9754104	26883	9759907	138594	9765710	2800215	9754104	0.84948	9759907	1.01161	9765710	1.09854	9754104	31646.4189857324	9759907	137003.390634731	9765710	2549033.26233	9770671	31083	9776459	912962	9782262	2832690	9770671	0.84922	9776459	1.01167	9782262	1.09973	9770671	36601.8228492028	9776459	902430.634495438	9782262	2575804.97031089
83	9840918	23922	9846706	103870	9852509	2644729	9840918	0.84971	9846706	1.01164	9852509	1.09924	9840918	28153.1345988631	9846706	102674.864576331	9852509	2405961.39150686	9857485	25336	9863257	95246	9869060	2661167	9857485	0.84972	9863257	1.01138	9869060	1.10001	9857485	29816.8808548698	9863257	94174.2965057644	9869060	2419220.73435696	9874037	26435	9879824	136714	9885628	2801609	9874037	0.84988	9879824	1.01057	9885628	1.0996	9874037	31104.3912081706	9879824	135284.047616692	9885628	2547843.76136777	9890588	31239	9896392	912496	9902210	2834605	9890588	0.8498	9896392	1.01199	9902210	1.0989	9890588	36760.4142151094	9896392	901684.79925691	9902210	2579493.12949313
84	9960929	24153	9966732	102782	9972535	2647515	9960929	0.84926	9966732	1.01044	9972535	1.09964	9960929	28440.053693804	9966732	101720.042753652	9972535	2407619.76646903	9977512	25164	9983284	94044	9989087	2661744	9977512	0.84976	9983284	1.01026	9989087	1.09883	9977512	29613.0672189795	9983284	93088.9078059114	9989087	2422343.76564164	9994079	26897	9999867	135061	10005654	2810897	9994079	0.84925	9999867	1.00987	10005654	1.09992	9994079	31671.474830733	9999867	133740.97656134	10005654	2555546.7670376	10010646	31141	10016434	909619	10022237	2828598	10010646	0.84934	10016434	1.01105	10022237	1.09953	10010646	36664.9398356371	10016434	899677.562929628	10022237	2572551.90854274
85	10080940	24065	10086743	101444	10092546	2653030	10080940	0.84944	10086743	1.01026	10092546	1.09801	10080940	28330.4294594086	10086743	100413.754874983	10092546	2416216.61004909	10097523	25203	10103310	93658	10109114	2668156	10097523	0.8486	10103310	1.01095	10109114	1.09746	10097523	29699.5050671695	10103310	92643.5530936248	10109114	2431210.2491207	10114074	26593	10119862	132635	10125665	2810750	10114074	0.84886	10119862	1.01005	10125665	1.09835	10114074	31327.8985934076	10119862	131315.281421712	10125665	2559065.87153457	10130626	31379	10136414	906900	10142217	2826078	10130626	0.84942	10136414	1.0112	10142217	1.09783	10130626	36941.6778507688	10136414	896855.221518987	10142217	2574240.09181749
86	10200951	24525	10206739	100884	10212573	2647355	10200951	0.84925	10206739	1.00997	10212573	1.09777	10200951	28878.4221371799	10206739	99888.1154885789	10212573	2411575.28444027	10217549	25183	10223353	92370	10229156	2673704	10217549	0.84922	10223353	1.01136	10229156	1.09967	10217549	29654.270978074	10223353	91332.4632178453	10229156	2431369.41082325	10234132	26811	10239904	130718	10245707	2803149	10234132	0.84942	10239904	1.01062	10245707	1.09904	10234132	31563.8906547997	10239904	129344.362866359	10245707	2550543.20133935	10250700	31568	10256487	907244	10262275	2823388	10250700	0.84926	10256487	1.01062	10262275	1.09989	10250700	37171.1843251772	10256487	897710.316439413	10262275	2566973.06094246
87	10320962	24199	10326750	99938	10332568	2645993	10320962	0.8496	10326750	1.01063	10332568	1.09912	10320962	28482.8154425612	10326750	98886.8329655759	10332568	2407374.08108305	10337529	25372	10343317	91720	10349120	2673965	10337529	0.84962	10343317	1.01088	10349120	1.09858	10337529	29862.7621760316	10343317	90732.826843938	10349120	2434019.37046005	10354112	26770	10359900	127927	10365703	2809656	10354112	0.8495	10359900	1.01046	10365703	1.09999	10354112	31512.6545026486	10359900	126602.735387843	10365703	2554255.94778134	10370695	31618	10376483	909562	10382286	2822479	10370695	0.8499	10376483	1.01201	10382286	1.09987	10370695	37202.0237675021	10376483	898767.798737167	10382286	2566193.27738733
88	10440973	24515	10446776	98742	10452579	2653240	10440973	0.84997	10446776	1.0107	10452579	1.09981	10440973	28842.1944303917	10446776	97696.6458889878	10452579	2412453.06007401	10457556	25366	10463328	90932	10469131	2678434	10457556	0.84961	10463328	1.01098	10469131	1.0994	10457556	29856.051600146	10463328	89944.4103740925	10469131	2436268.87393124	10474107	26438	10479895	125947	10485698	2811214	10474107	0.85018	10479895	1.01071	10485698	1.09989	10474107	31096.9441765273	10479895	124612.401183327	10485698	2555904.68137723	10490690	31426	10496478	907996	10502281	2820896	10490690	0.85001	10496478	1.01115	10502281	1.10034	10490690	36971.3297490618	10496478	897983.484151708	10502281	2563658.50555283
89	10560984	24074	10566787	98157	10572590	2653726	10560984	0.8502	10566787	1.01226	10572590	1.09991	10560984	28315.6904257822	10566787	96968.1702329441	10572590	2412675.58254766	10577567	25086	10583354	90425	10589142	2683346	10577567	0.85074	10583354	1.01217	10589142	1.0996	10577567	29487.2699061993	10583354	89337.7594672832	10589142	2440292.83375773	10594119	26592	10599891	124577	10605694	2815790	10594119	0.84938	10599891	1.0105	10605694	1.10028	10594119	31307.5419717912	10599891	123282.533399307	10605694	2559157.66895699	10610655	31811	10616442	908666	10622230	2815261	10610655	0.84991	10616442	1.01183	10622230	1.09958	10610655	37428.6689178854	10616442	898042.161232618	10622230	2560305.75310573
90	10680995	24472	10686783	97433	10692601	2653744	10680995	0.84922	10686783	1.00997	10692601	1.10033	10680995	28817.0321000447	10686783	96471.1823123459	10692601	2411771.0141503	10697578	25427	10703350	89468	10709138	2682838	10697578	0.85039	10703350	1.01144	10709138	1.10013	10697578	29900.3986406237	10703350	88456.06264336	10709138	2438655.43163081	10714130	26792	10719902	122720	10725705	2813801	10714130	0.84961	10719902	1.0114	10725705	1.09985	10714130	31534.4687562529	10719902	121336.76092545	10725705	2558349.77496931	10730681	31824	10736484	906524	10742288	2810191	10730681	0.84997	10736484	1.01219	10742288	1.09981	10730681	37441.3214584044	10736484	895606.556081368	10742288	2555160.43680272
91	10801006	24304	10806794	97405	10812597	2654019	10801006	0.84954	10806794	1.01106	10812597	1.10065	10801006	28608.4233820656	10806794	96339.4852926632	10812597	2411319.67473766	10817573	25301	10823361	89291	10829149	2682086	10817573	0.84993	10823361	1.01065	10829149	1.09885	10817573	29768.3338627887	10823361	88350.0717360115	10829149	2440811.75774674	10834125	26552	10839913	120217	10845716	2805559	10834125	0.84989	10839913	1.01139	10845716	1.10022	10834125	31241.6901010719	10839913	118863.148735898	10845716	2549998.18218175	10850692	31860	10856480	905369	10862299	2810444	10850692	0.85029	10856480	1.01163	10862299	1.10029	10850692	37469.5692058004	10856480	894960.608127478	10862299	2554275.6909542
92	10921017	24173	10926820	96183	10932624	2645741	10921017	0.84986	10926820	1.01112	10932624	1.09977	10921017	28443.5083425505	10926820	95125.2076904819	10932624	2405722.10553116	10937600	25289	10943372	88358	10949175	2682051	10937600	0.85027	10943372	1.01211	10949175	1.10008	10937600	29742.3171463182	10943372	87300.7874638132	10949175	2438050.86902771	10954167	26915	10959939	118693	10965742	2808870	10954167	0.84982	10959939	1.01092	10965742	1.10029	10954167	31671.412769763	10959939	117410.873263958	10965742	2552845.15900354	10970719	32298	10976506	906333	10982310	2809324	10970719	0.84969	10976506	1.01175	10982310	1.10081	10970719	38011.5100801469	10976506	895807.264640474	10982310	2552051.67104223
93	11041028	24423	11046816	94917	11052635	2648333	11041028	0.84998	11046816	1.01108	11052635	1.10044	11041028	28733.6172615826	11046816	93876.8445622503	11052635	2406612.80942169	11057611	25451	11063414	87954	11069233	2685213	11057611	0.84956	11063414	1.01035	11069233	1.09891	11057611	29957.8605395734	11063414	87053.0014351462	11069233	2443524.0374553	11074209	26722	11079997	117897	11085785	2809066	11074209	0.84938	11079997	1.01142	11085785	1.1005	11074209	31460.5947867857	11079997	116565.818354393	11085785	2552536.11994548	11090777	32174	11096549	904626	11102352	2806429	11090777	0.85001	11096549	1.01131	11102352	1.09954	11090777	37851.3193962424	11096549	894509.102055749	11102352	2552366.44414937
94	11161039	24336	11166842	95022	11172646	2648156	11161039	0.84994	11166842	1.01114	11172646	1.10081	11161039	28632.6093606608	11166842	93975.1171944538	11172646	2405643.11734087	11177622	25063	11183410	86553	11189228	2684579	11177622	0.85005	11183410	1.0115	11189228	1.0998	11177622	29484.1479912946	11183410	85568.9569945625	11189228	2440970.17639571	11194205	26969	11199992	117742	11205796	2805994	11194205	0.8496	11199992	1.01017	11205796	1.09949	11194205	31743.1732580038	11199992	116556.61918291	11205796	2552086.87664281	11210788	32507	11216575	904670	11222363	2798621	11210788	0.8494	11216575	1.011	11222363	1.09928	11210788	38270.5439133506	11216575	894826.904055391	11222363	2545867.2949567
95	11281050	23838	11286838	93597	11292657	2641929	11281050	0.84901	11286838	1.00979	11292657	1.09939	11281050	28077.4078043839	11286838	92689.5691183315	11292657	2403086.25692429	11297633	25582	11303405	85777	11309193	2685038	11297633	0.85024	11303405	1.01018	11309193	1.10002	11297633	30087.9751599548	11303405	84912.5898354749	11309193	2440899.25637716	11314169	27042	11319957	117453	11325760	2812647	11314169	0.84989	11319957	1.01097	11325760	1.10012	11314169	31818.235301039	11319957	116178.521617852	11325760	2556672.90840999	11330721	32320	11336493	903723	11342296	2792661	11330721	0.84955	11336493	1.01018	11342296	1.09912	11330721	38043.6701783297	11336493	894615.811043576	11342296	2540815.37957639
96	11401061	24442	11406849	93006	11412668	2643885	11401061	0.84876	11406849	1.01043	11412668	1.09983	11401061	28797.3043027475	11406849	92045.9606306226	11412668	2403903.33051472	11417644	25348	11423432	85337	11429219	2674788	11417644	0.84889	11423432	1.01015	11429219	1.09939	11417644	29860.1703400912	11423432	84479.532742662	11429219	2432974.6495784	11434211	27074	11439983	117439	11445771	2806486	11434211	0.84947	11439983	1.00949	11445771	1.09975	11434211	31871.6376093329	11439983	116334.981030025	11445771	2551930.89338486	11450747	32884	11456535	905690	11462354	2790365	11450747	0.84949	11456535	1.00952	11462354	1.09873	11450747	38710.2849945261	11456535	897149.140185435	11462354	2539627.57001265
97	11521072	24336	11526875	92518	11532679	2637540	11521072	0.84885	11526875	1.0108	11532679	1.09905	11521072	28669.376214879	11526875	91529.4815987337	11532679	2399836.22219189	11537655	25246	11543427	84428	11549230	2674565	11537655	0.84862	11543427	1.01012	11549230	1.09833	11537655	29749.4756192407	11543427	83582.1486556053	11549230	2435119.68169858	11554222	26985	11560010	117596	11565797	2802675	11554222	0.84934	11560010	1.01042	11565797	1.09957	11554222	31771.7286363529	11560010	116383.286158231	11565797	2548882.74507307	11570789	32786	11576577	905706	11582380	2790480	11570789	0.84869	11576577	1.01009	11582380	1.09913	11570789	38631.3023601079	11576577	896658.713579978	11582380	2538807.96630062
98	11641083	24220	11646871	91619	11652690	2633206	11641083	0.84818	11646871	1.01027	11652690	1.09904	11641083	28555.2594968049	11646871	90687.6379581696	11652690	2395914.61639249	11657666	25228	11663454	84576	11669241	2676421	11657666	0.84877	11663454	1.01007	11669241	1.09962	11657666	29723.0109452502	11663454	83732.8105972854	11669241	2433950.81937397	11674233	26921	11680021	117427	11685824	2800467	11674233	0.84916	11680021	1.01015	11685824	1.09915	11674233	31703.0948231193	11680021	116247.092016037	11685824	2547847.88245462	11690816	32680	11696588	909267	11702391	2786329	11690816	0.84949	11696588	1.00968	11702391	1.09935	11690816	38470.1409080743	11696588	900549.679106252	11702391	2534524.03693091
99	11761094	24096	11766882	91587	11772701	2632056	11761094	0.84932	11766882	1.00959	11772701	1.09976	11761094	28370.9320397494	11766882	90717.0237423112	11772701	2393300.35644141	11777677	25428	11783465	83784	11789283	2679581	11777677	0.84924	11783465	1.0109	11789283	1.10046	11777677	29942.0658471104	11783465	82880.6014442576	11789283	2434964.4694037	11794260	27178	11800032	116082	11805835	2800333	11794260	0.85002	11800032	1.01029	11805835	1.09958	11794260	31973.3653325804	11800032	114899.682269447	11805835	2546729.6604158	11810827	32997	11816599	908386	11822402	2787168	11810827	0.85055	11816599	1.01155	11822402	1.10011	11810827	38794.8974193169	11816599	898013.939004498	11822402	2533535.73733536
100	11881105	24426	11886908	90238	11892712	2636306	11881105	0.84967	11886908	1.01099	11892712	1.10024	11881105	28747.63143338	11886908	89257.0648572192	11892712	2396119.02857558	11897672	25330	11903460	83120	11909263	2678260	11897672	0.84987	11903460	1.01166	11909263	1.10041	11897672	29804.5583442174	11903460	82161.9911828085	11909263	2433874.64672259	11914255	27201	11920043	115295	11925846	2802415	11914255	0.84972	11920043	1.01168	11925846	1.10055	11914255	32011.7215082615	11920043	113963.901628974	11925846	2546376.8115942	11930822	33201	11936610	905104	11942413	2782474	11930822	0.8499	11936610	1.01132	11942413	1.10055	11930822	39064.5958348041	11936610	894972.906696199	11942413	2528257.68933715
101	12001116	24349	12006904	89912	12012723	2634084	12001116	0.85012	12006904	1.01165	12012723	1.1006	12001116	28641.8387992284	12006904	88876.5877526813	12012723	2393316.37288752	12017699	25052	12023471	82420	12029274	2674964	12017699	0.84964	12023471	1.0108	12029274	1.10095	12017699	29485.4291229227	12023471	81539.3747526712	12029274	2429687.08842363	12034251	27115	12040038	114358	12045841	2803526	12034251	0.84948	12040038	1.01148	12045841	1.10081	12034251	31919.527240194	12040038	113060.070391901	12045841	2546784.64040116	12050818	33150	12056621	905252	12062424	2781588	12050818	0.84971	12056621	1.01166	12062424	1.10057	12050818	39013.3104235563	12056621	894818.417254809	12062424	2527406.70743342
102	12121127	24489	12126930	89427	12132734	2630782	12121127	0.85039	12126930	1.01104	12132734	1.10027	12121127	28797.3753219111	12126930	88450.506409242	12132734	2391033.1100548	12137710	25503	12143482	81862	12149270	2672180	12137710	0.84985	12143482	1.01047	12149270	1.10071	12137710	30008.82508678	12143482	81013.7856640969	12149270	2427687.58346885	12154262	27323	12160049	113026	12165852	2800805	12154262	0.84997	12160049	1.01182	12165852	1.10073	12154262	32145.8404414274	12160049	111705.639342966	12165852	2544497.74240731	12170813	33589	12176616	905249	12182420	2776247	12170813	0.84964	12176616	1.0124	12182420	1.1003	12170813	39533.2140671343	12176616	894161.398656657	12182420	2523172.77106244
103	12241138	24431	12246926	88676	12252745	2625964	12241138	0.84944	12246926	1.01099	12252745	1.10087	12241138	28761.3015633829	12246926	87712.0446295216	12252745	2385353.40230908	12257721	25426	12263493	81080	12269296	2670163	12257721	0.84959	12263493	1.01157	12269296	1.10032	12257721	29927.3767346603	12263493	80152.6340243384	12269296	2426714.95564927	12274273	27124	12280060	112107	12285863	2794186	12274273	0.84996	12280060	1.01075	12285863	1.10044	12274273	31912.089980705	12280060	110914.667326243	12285863	2539153.42953728	12290840	33535	12296627	907004	12302431	2775236	12290840	0.84996	12296627	1.01137	12302431	1.10001	12290840	39454.7978728411	12296627	896807.300987769	12302431	2522918.88255561
