WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
16	1800165	111165	1805952	72906	1811771	3418303	1800165	0.8461	1805952	1.00627	1811771	1.09263	1800165	131385.179056849	1805952	72451.7276675246	1811771	3128509.19341406	1816747	117454	1822535	75960	1828354	3615958	1816747	0.84577	1822535	1.00667	1828354	1.09269	1816747	138872.270238954	1822535	75456.7037857491	1828354	3309225.85545763	1833330	117923	1839118	214465	1844921	3597517	1833330	0.84601	1839118	1.00683	1844921	1.09335	1833330	139387.241285564	1839118	213010.140738754	1844921	3290361.73229067	1849913	111171	1855701	226807	1861488	3508128	1849913	0.84576	1855701	1.0068	1861488	1.09335	1849913	131445.090805902	1855701	225275.129121971	1861488	3208604.74687886
17	1920176	110967	1925963	55761	1931782	3418699	1920176	0.84564	1925963	1.00633	1931782	1.09335	1920176	131222.506030935	1925963	55410.2530978904	1931782	3126811.17665889	1936759	117878	1942546	57615	1948349	3613304	1936759	0.84611	1942546	1.00633	1948349	1.09327	1936759	139317.582820201	1942546	57252.5910983475	1948349	3305042.67015467	1953326	117186	1959113	132723	1964917	3589463	1953326	0.84542	1959113	1.00741	1964917	1.09348	1953326	138612.760521398	1959113	131746.756534082	1964917	3282605.07736767	1969909	111754	1975696	141203	1981484	3504537	1969909	0.8457	1975696	1.00687	1981484	1.09453	1969909	132143.786212605	1975696	140239.554262219	1981484	3201864.72732588
18	2040187	111462	2045990	46247	2051793	3416297	2040187	0.8459	2045990	1.00652	2051793	1.09345	2040187	131767.348386334	2045990	45947.4228033223	2051793	3124328.50153185	2056770	117671	2062542	46495	2068345	3606567	2056770	0.84533	2062542	1.007	2068345	1.09328	2056770	139201.258680042	2062542	46171.7974180735	2068345	3298850.24879262	2073321	117208	2079124	89083	2084928	3584955	2073321	0.84589	2079124	1.00657	2084928	1.09345	2073321	138561.751527976	2079124	88501.5448503333	2084928	3278572.40843203	2089904	111095	2095692	95142	2101495	3493107	2089904	0.84616	2095692	1.00675	2101495	1.09287	2089904	131293.13604992	2095692	94504.0973429352	2101495	3196269.45565346
19	2160198	110905	2166001	40221	2171804	3411379	2160198	0.84661	2166001	1.00742	2171804	1.09405	2160198	130998.92512491	2166001	39924.7582934625	2171804	3118119.82998949	2176781	118242	2182568	40618	2188403	3602242	2176781	0.84685	2182568	1.00732	2188403	1.09396	2176781	139625.671606542	2182568	40322.8368343724	2188403	3292846.17353468	2193379	116671	2199182	64414	2205001	3578910	2193379	0.84655	2199182	1.00795	2205001	1.09357	2193379	137819.384560865	2199182	63905.9477156605	2205001	3272684.87613962	2209977	110891	2215749	68516	2221553	3495524	2209977	0.84689	2215749	1.00779	2221553	1.09363	2209977	130939.082997792	2215749	67986.3860526499	2221553	3196258.33234275
20	2280209	110152	2285996	36401	2291800	3408945	2280209	0.84705	2285996	1.00835	2291800	1.09488	2280209	130041.910158786	2285996	36099.5686021719	2291800	3113532.9899167	2296776	117774	2302564	36238	2308351	3600221	2296776	0.847	2302564	1.00851	2308351	1.09455	2296776	139048.406139315	2302564	35932.2168347364	2308351	3289224.79557809	2313328	116562	2319115	50282	2324918	3571569	2313328	0.84742	2319115	1.0081	2324918	1.09391	2313328	137549.267187463	2319115	49877.988294812	2324918	3264956.89773382	2329910	110367	2335698	53602	2341501	3496947	2329910	0.84706	2335698	1.0084	2341501	1.09433	2329910	130294.194035842	2335698	53155.4938516462	2341501	3195514.15021063
21	2400220	110738	2406023	33776	2411826	3404438	2400220	0.84675	2406023	1.00784	2411826	1.09515	2400220	130780.041334514	2406023	33513.2560723924	2411826	3108649.95662695	2416803	118513	2422590	33571	2428378	3595197	2416803	0.84749	2422590	1.00827	2428378	1.09562	2416803	139839.998112072	2422590	33295.64501572	2428378	3281426.95460105	2433354	116887	2439142	42400	2444945	3570859	2433354	0.84718	2439142	1.00839	2444945	1.09547	2433354	137971.859581199	2439142	42047.2237923819	2444945	3259659.32430829	2449937	110926	2455709	44167	2461512	3484501	2449937	0.84694	2455709	1.00823	2461512	1.09501	2449937	130972.678111791	2455709	43806.4727294367	2461512	3182163.63320883
22	2520231	110795	2526034	31984	2531822	3402079	2520231	0.84752	2526034	1.0082	2531822	1.09551	2520231	130728.478383991	2526034	31723.8643126364	2531822	3105475.0755356	2536798	117854	2542570	31724	2548373	3591655	2536798	0.84722	2542570	1.00768	2548373	1.09535	2536798	139106.725525837	2542570	31482.216576691	2548373	3279002.14543297	2553350	116308	2559137	37266	2564940	3565914	2553350	0.84735	2559137	1.00821	2564940	1.09479	2553350	137260.872130761	2559137	36962.5375665784	2564940	3257167.12794235	2569917	110423	2575704	38454	2581523	3480031	2569917	0.84684	2575704	1.00831	2581523	1.09482	2569917	130394.171272023	2575704	38137.0808580694	2581523	3178633.01729965
23	2640242	109987	2646029	30566	2651848	3392168	2640242	0.84729	2646029	1.00767	2651848	1.09434	2640242	129810.336484557	2646029	30333.3432572171	2651848	3099738.65526253	2656825	116823	2662597	29993	2668400	3582123	2656825	0.84713	2662597	1.00706	2668400	1.09508	2656825	137904.453861863	2662597	29782.7338986754	2668400	3271106.2205501	2673376	116140	2679164	34338	2684951	3561580	2673376	0.84682	2679164	1.00769	2684951	1.09455	2673376	137148.390448974	2679164	34075.9558991356	2684951	3253921.70298296	2689943	110503	2695731	34799	2701534	3474665	2689943	0.84722	2695731	1.00801	2701534	1.09447	2689943	130430.112603574	2695731	34522.4749754467	2701534	3174746.68104197
24	2760253	110752	2766056	29303	2771859	3389690	2760253	0.84672	2766056	1.00775	2771859	1.09427	2760253	130801.209372638	2766056	29077.6482262466	2771859	3097672.42088333	2776836	117191	2782639	29128	2788442	3579938	2776836	0.8463	2782639	1.00837	2788442	1.09415	2776836	138474.536216472	2782639	28886.2223191884	2788442	3271889.59466252	2793418	115782	2799206	32387	2804994	3554104	2793418	0.84686	2799206	1.00788	2804994	1.0949	2793418	136719.17436176	2799206	32133.785768147	2804994	3246053.52086949	2809970	110364	2815758	32166	2821561	3473475	2809970	0.84687	2815758	1.00755	2821561	1.09463	2809970	130319.883807432	2815758	31924.9665029031	2821561	3173195.50898477
25	2880264	110057	2886067	28823	2891855	3380846	2880264	0.84655	2886067	1.00836	2891855	1.09509	2880264	130006.496958242	2886067	28584.0374469436	2891855	3087276.84482554	2896831	117377	2902619	28267	2908422	3572978	2896831	0.84765	2902619	1.00824	2908422	1.0953	2896831	138473.426532177	2902619	28035.983495993	2908422	3262099.88131106	2913398	116169	2919186	30857	2924973	3551680	2913398	0.8472	2919186	1.00863	2924973	1.09496	2913398	137121.104815864	2919186	30592.9825605029	2924973	3243661.86892672	2929965	110074	2935753	30350	2941556	3467203	2929965	0.84645	2935753	1.0083	2941556	1.09523	2929965	130041.939866501	2935753	30100.1686006149	2941556	3165730.48583403
