WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
16	1800165	103428	1805968	44243	1811771	3109808	1800165	0.8345	1805968	1.00254	1811771	1.04898	1800165	123940.083882564	1805968	44130.9074949628	1811771	2964601.80365689	1816747	112076	1822551	46268	1828354	3265969	1816747	0.83421	1822551	1.00271	1828354	1.04942	1816747	134349.863943132	1822551	46142.9525984582	1828354	3112165.76775743	1833330	106095	1839134	48892	1844921	3233132	1833330	0.83439	1839134	1.00291	1844921	1.04908	1833330	127152.770287276	1839134	48750.137101036	1844921	3081873.64166698
17	1920176	103760	1925963	34475	1931766	3109898	1920176	0.83469	1925963	1.00295	1931766	1.04933	1920176	124309.623932238	1925963	34373.5978862356	1931766	2963698.74110146	1936743	112075	1942531	36264	1948318	3261448	1936743	0.83506	1942531	1.0026	1948318	1.04929	1936743	134211.912916437	1942531	36169.9581089168	1948318	3108242.71650354	1953295	105777	1959067	37854	1964870	3231485	1953295	0.83486	1959067	1.0027	1964870	1.0486	1953295	126700.285077738	1959067	37752.069412586	1964870	3081713.71352279
18	2040187	103974	2045974	30116	2051778	3100014	2040187	0.83463	2045974	1.00326	2051778	1.04928	2040187	124574.961360124	2045974	30018.1408607938	2051778	2954420.17383349	2056754	112575	2062542	31162	2068345	3260527	2056754	0.83474	2062542	1.00372	2068345	1.05004	2056754	134862.352349235	2062542	31046.5069939824	2068345	3105145.51826597	2073321	105728	2079109	31789	2084912	3223142	2073321	0.83538	2079109	1.0028	2084912	1.0495	2073321	126562.76185688	2079109	31700.2393298763	2084912	3071121.48642211
19	2160198	104252	2165985	26821	2171789	3101148	2160198	0.83504	2165985	1.00329	2171789	1.0494	2160198	124846.713929872	2165985	26733.0482711878	2171789	2955162.95025729	2176765	111876	2182553	28437	2188356	3257966	2176765	0.83455	2182553	1.00396	2188356	1.04882	2176765	134055.479000659	2182553	28324.8336587115	2188356	3106315.66903758	2193332	105608	2199120	28705	2204923	3223157	2193332	0.83443	2199120	1.00324	2204923	1.04911	2193332	126563.043035365	2199120	28612.2961604402	2204923	3072277.4542231
20	2280209	103754	2285996	24842	2291800	3094942	2280209	0.83513	2285996	1.00373	2291800	1.04947	2280209	124236.945146265	2285996	24749.6836798741	2291800	2949052.37881979	2296776	112190	2302564	26531	2308367	3258706	2296776	0.83436	2302564	1.00346	2308367	1.05	2296776	134462.34239417	2302564	26439.5192633488	2308367	3103529.52380952	2313328	106000	2319115	26946	2324903	3222563	2313328	0.83441	2319115	1.00335	2324903	1.04885	2313328	127035.869656404	2319115	26856.0322918224	2324903	3072472.70820422
21	2400220	104041	2406007	23452	2411811	3094123	2400220	0.83536	2406007	1.00304	2411811	1.0485	2400220	124546.303390155	2406007	23380.9219971287	2411811	2950999.52312828	2416803	111755	2422575	25142	2428378	3253241	2416803	0.83473	2422575	1.00304	2428378	1.04907	2416803	133881.614414242	2422575	25065.799968097	2428378	3101071.42516705	2433354	106197	2439142	25065	2444961	3216336	2433354	0.83509	2439142	1.00291	2444961	1.04891	2433354	127168.329162126	2439142	24992.2724870626	2444961	3066360.3169004
22	2520231	103541	2526018	22250	2531822	3089845	2520231	0.83477	2526018	1.00324	2531822	1.04909	2520231	124035.363034129	2526018	22178.142817272	2531822	2945262.08428257	2536782	112191	2542570	23750	2548373	3252307	2536782	0.83473	2542570	1.00304	2548373	1.04949	2536782	134403.938998239	2542570	23678.0188227788	2548373	3098940.43773642	2553365	106192	2559231	24099	2565034	3219666	2553365	0.83503	2559231	1.00327	2565034	1.04958	2553365	127171.478869023	2559231	24020.4531183031	2565034	3067575.60166924
23	2640242	104286	2646029	21399	2651833	3087786	2640242	0.83532	2646029	1.00349	2651833	1.04901	2640242	124845.568165493	2646029	21324.5772254831	2651833	2943523.89395716	2656809	112192	2662597	22902	2668400	3251469	2656809	0.83545	2662597	1.00351	2668400	1.04984	2656809	134289.305164881	2662597	22821.8951480304	2668400	3097109.08328888	2673376	106240	2679179	23023	2684967	3211861	2673376	0.83503	2679179	1.00337	2684967	1.04948	2673376	127228.961833707	2679179	22945.6730817146	2684967	3060430.88005488
24	2760253	103580	2766040	20838	2771844	3088351	2760253	0.83516	2766040	1.00355	2771844	1.04974	2760253	124024.139087121	2766040	20764.2867819242	2771844	2942015.16566007	2776820	112949	2782592	22322	2788395	3251384	2776820	0.83583	2782592	1.00268	2788395	1.05026	2776820	135133.938719596	2782592	22262.3369370088	2788395	3095789.61400034	2793372	105845	2799159	22214	2804947	3215520	2793372	0.83561	2799159	1.0032	2804947	1.04955	2793372	126667.943179234	2799159	22143.1419457735	2804947	3063713.01986566
25	2880264	103651	2886051	19857	2891855	3085919	2880264	0.83509	2886051	1.00336	2891855	1.0498	2880264	124119.555976003	2886051	19790.5039068729	2891855	2939530.38674033	2896831	112623	2902619	21264	2908422	3251960	2896831	0.83539	2902619	1.00345	2908422	1.05053	2896831	134814.876883851	2902619	21190.8914245852	2908422	3095542.25010233	2913383	106957	2919170	21260	2924973	3215609	2913383	0.8357	2919170	1.00388	2924973	1.05016	2913383	127984.922819193	2919170	21177.8300195242	2924973	3062018.16866001
