WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
16	1800165	84782	1805952	47159	1811755	2435820	1800165	0.83751	1805952	1.00423	1811755	1.05567	1800165	101231.030077253	1805952	46960.3576869841	1811755	2307368.78001648	1816732	85398	1822504	48795	1828307	2478658	1816732	0.83788	1822504	1.00395	1828307	1.05546	1816732	101921.516207571	1822504	48603.0180785896	1828307	2348414.90913914	1833284	81181	1839071	48046	1844874	2443830	1833284	0.83762	1839071	1.004	1844874	1.05493	1833284	96918.6504620234	1839071	47854.5816733068	1844874	2316580.24703061
17	1920176	84530	1925963	35843	1931782	2434776	1920176	0.83701	1925963	1.00452	1931782	1.05615	1920176	100990.430221861	1925963	35681.7186317843	1931782	2305331.62902997	1936743	84805	1942531	37113	1948334	2472707	1936743	0.83779	1942531	1.00441	1948334	1.0551	1936743	101224.650568758	1942531	36950.0502782728	1948334	2343575.96436357	1953310	81057	1959098	36846	1964885	2439625	1953310	0.83753	1959098	1.00487	1964885	1.05422	1953310	96781.0108294628	1959098	36667.4296177615	1964885	2314151.69509211
18	2040187	84686	2045974	29094	2051793	2429424	2040187	0.8381	2045974	1.00523	2051793	1.05589	2040187	101045.22133397	2045974	28942.6300448654	2051793	2300830.57894288	2056754	85631	2062526	30393	2068329	2473641	2056754	0.83756	2062526	1.00413	2068329	1.05546	2056754	102238.64558957	2062526	30267.993188133	2068329	2343661.53146495	2073306	81522	2079093	30355	2084881	2442533	2073306	0.83811	2079093	1.0044	2084881	1.05619	2073306	97268.8549235781	2079093	30222.0230983672	2084881	2312588.64408866
19	2160198	84864	2165985	25122	2171804	2425782	2160198	0.8381	2165985	1.00467	2171804	1.05562	2160198	101257.606490872	2165985	25005.2255964645	2171804	2297968.96610523	2176765	85814	2182553	25739	2188340	2469825	2176765	0.83759	2182553	1.00423	2188340	1.05512	2176765	102453.467687055	2182553	25630.582635452	2188340	2340800.09856699	2193317	81274	2199104	26265	2204907	2441417	2193317	0.8383	2199104	1.00437	2204907	1.05642	2193317	96950.9722056543	2199104	26150.7213477105	2204907	2311028.75750175
20	2280209	84755	2285996	22589	2291815	2430854	2280209	0.83786	2285996	1.00427	2291815	1.05589	2280209	101156.517795336	2285996	22492.9550818007	2291815	2302184.88668327	2296776	85915	2302564	23114	2308351	2470083	2296776	0.83726	2302564	1.00352	2308351	1.05386	2296776	102614.480567566	2302564	23032.9241071429	2308351	2343843.58453685	2313343	81140	2319131	23675	2324918	2441051	2313343	0.83774	2319131	1.00386	2324918	1.05524	2313343	96855.8263900494	2319131	23583.9658916582	2324918	2313266.17641484
21	2400220	85200	2406007	20913	2411826	2429136	2400220	0.83777	2406007	1.00488	2411826	1.05651	2400220	101698.556883154	2406007	20811.4401719608	2411826	2299207.76897521	2416787	85947	2422575	21341	2428378	2464920	2416787	0.83874	2422575	1.00403	2428378	1.05556	2416787	102471.564489592	2422575	21255.3409758673	2428378	2335177.53609459	2433354	81163	2439142	22083	2444945	2438233	2433354	0.83818	2439142	1.00477	2444945	1.05577	2433354	96832.422629984	2439142	21978.1641569712	2444945	2309435.76725991
22	2520231	85043	2526003	19620	2531806	2421858	2520231	0.83801	2526003	1.00414	2531806	1.05638	2520231	101482.082552714	2526003	19539.1080924971	2531806	2292601.14731441	2536782	85291	2542570	20197	2548358	2467855	2536782	0.83866	2542570	1.00514	2548358	1.05605	2536782	101699.139102855	2542570	20093.7182879997	2548358	2336873.25410729	2553334	81137	2559137	20580	2564940	2435912	2553334	0.83839	2559137	1.00503	2564940	1.05585	2553334	96777.1562160808	2559137	20477.0006865467	2564940	2307062.55623431
23	2640242	84814	2646014	18587	2651848	2421033	2640242	0.83869	2646014	1.00421	2651848	1.05594	2640242	101126.757204688	2646014	18509.0767867279	2651848	2292775.15767941	2656809	85818	2662597	18949	2668400	2465258	2656809	0.83773	2662597	1.00459	2668400	1.0556	2656809	102441.120647464	2662597	18862.4214853821	2668400	2335409.24592649	2673376	81306	2679164	19940	2684967	2435859	2673376	0.83847	2679164	1.00414	2684967	1.05695	2673376	96969.4801245125	2679164	19857.7887545561	2684967	2304611.38180614
24	2760253	84768	2766040	17839	2771844	2419109	2760253	0.83829	2766040	1.00516	2771844	1.05625	2760253	101120.13742261	2766040	17747.4232957937	2771844	2290280.71005917	2776820	85513	2782592	18402	2788411	2466371	2776820	0.83851	2782592	1.00474	2788411	1.05594	2776820	101982.087273855	2782592	18315.1860182734	2788411	2335711.3093547	2793403	81672	2799175	19154	2804962	2433493	2793403	0.83828	2799175	1.00463	2804962	1.05607	2793403	97428.0669943217	2799175	19065.725690055	2804962	2304291.38220004
25	2880264	84227	2886051	17250	2891855	2414447	2880264	0.83703	2886051	1.00315	2891855	1.05475	2880264	100626.02296214	2886051	17195.8331256542	2891855	2289117.80042664	2896831	85782	2902603	18057	2908406	2465833	2896831	0.83684	2902603	1.00372	2908406	1.05545	2896831	102507.050332202	2902603	17990.0769138804	2908406	2336285.94438391	2913398	81548	2919170	18357	2924973	2431386	2913398	0.83742	2919170	1.00392	2924973	1.05528	2913398	97380.0482434143	2919170	18285.3215395649	2924973	2304019.78621788
